ISO_A3,ghsl_year,flood_type,return_period,ftm3_ghsl_total_pop_#,ghsl_total_pop_#,relative_exposure_pct
ZWE,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,36177.766,8689357.0,0.41634572040255685
ZWE,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,169289.44,8689357.0,1.9482389778668316
ZWE,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,17501.25,8689357.0,0.20141018489630474
ZWE,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,42549.984,10112374.0,0.4207714627643321
ZWE,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,200447.38,10112374.0,1.9821990365467101
ZWE,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,20510.674,10112374.0,0.20282748640428053
ZWE,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,44451.664,10992887.0,0.4043675151031753
ZWE,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,213607.11,10992887.0,1.9431393227275056
ZWE,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,21051.443,10992887.0,0.19150058578788265
ZWE,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,45811.02,11833463.0,0.38713113819682365
ZWE,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,224366.22,11833463.0,1.8960317871446424
ZWE,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,21193.523,11833463.0,0.17909823185317775
ZWE,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,45724.113,12223844.0,0.374056745161342
ZWE,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,228027.67,12223844.0,1.865433410308574
ZWE,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,20277.738,12223844.0,0.16588675379037887
ZWE,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,46700.23,12839076.0,0.36373513171820154
ZWE,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,236097.25,12839076.0,1.8388959610489104
ZWE,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,19568.822,12839076.0,0.15241612402637073
ZWE,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,51487.984,14154456.0,0.36375812676940744
ZWE,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,260200.73,14154456.0,1.8382955162671035
ZWE,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,20666.965,14154456.0,0.14601030940362528
ZWE,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,60917.883,15669380.0,0.38877021937051753
ZWE,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,296332.66,15669380.0,1.8911575314402993
ZWE,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,23953.107,15669380.0,0.15286569730263735
AFE,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,1672295.8728171876,199218785.9538889,0.8394267964288552
AFE,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,8453713.3379375,199218785.9538889,4.243431811643603
AFE,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,698654.4446079688,199218785.9538889,0.3506970696878351
AFE,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,2004166.3646125,230885684.14477777,0.8680340541840522
AFE,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,10159846.3699125,230885684.14477777,4.40037952441509
AFE,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,834667.7645376562,230885684.14477777,0.36150693691960323
AFE,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,2353411.9285862497,267859583.40622225,0.8785991147522935
AFE,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,11876903.1296875,267859583.40622225,4.434003435178793
AFE,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,983562.5204048436,267859583.40622225,0.3671933286453382
AFE,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,2686808.089378125,309821553.02555555,0.867211484527193
AFE,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,13482400.717625,309821553.02555555,4.351666495104331
AFE,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,1128290.8564307813,309821553.02555555,0.3641744240878279
AFE,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,2985311.4832625003,353394204.7322222,0.8447539442602245
AFE,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,15138488.74395,353394204.7322222,4.283739954202391
AFE,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,1265744.33417375,353394204.7322222,0.3581678242666271
AFE,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,3376864.83625,401505158.5188889,0.8410514197892018
AFE,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,17332508.535925,401505158.5188889,4.316883150359223
AFE,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,1427893.6495882813,401505158.5188889,0.35563519404224686
AFE,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,3834300.722196875,457049807.3233333,0.8389240430166846
AFE,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,19722420.201125,457049807.3233333,4.3151577541684984
AFE,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,1631296.101985625,457049807.3233333,0.35691867184873094
AFE,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,4361629.547846875,523326878.8877778,0.8334426768058636
AFE,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,22553041.098,523326878.8877778,4.309551450124593
AFE,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,1863716.5389665624,523326878.8877778,0.3561285716735023
AFE,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,4864093.476290625,599839125.4044445,0.8108996679753069
AFE,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,25506084.712325,599839125.4044445,4.252154224706065
AFE,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,2067398.3398471875,599839125.4044445,0.34465880138332655
AFE,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,5289956.2977312505,684908783.1622223,0.7723592437094374
AFE,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,28298022.563375,684908783.1622223,4.131648368228408
AFE,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,2215183.1433573435,684908783.1622223,0.3234274691484971
AFW,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,1122595.6300679687,137506038.39666668,0.8163973329153682
AFW,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,6714593.912375,137506038.39666668,4.883126581688918
AFW,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,571506.1032476563,137506038.39666668,0.4156225500432353
AFW,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,1299961.170128125,157769847.6,0.8239604651352437
AFW,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,7871476.2666875,157769847.6,4.989214597357259
AFW,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,661298.216487793,157769847.6,0.4191537397972317
AFW,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,1502344.5370507813,180744065.25111112,0.8311999262402037
AFW,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,9201892.1758125,180744065.25111112,5.091117189949301
AFW,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,760543.8237981446,180744065.25111112,0.42078494955920503
AFW,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,1728229.9923726562,206644139.9833333,0.8363314790886619
AFW,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,10752012.92325,206644139.9833333,5.203154042557024
AFW,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,873325.3858714843,206644139.9833333,0.42262286554166095
AFW,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,1953985.2411359376,235755776.67777777,0.8288175452882209
AFW,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,12315810.05475,235755776.67777777,5.2239695791559715
AFW,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,986004.8625130078,235755776.67777777,0.41823147513396564
AFW,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,2456969.951840625,269490313.5388889,0.9117099310829484
AFW,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,15459202.57625,269490313.5388889,5.736459456832817
AFW,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,1206623.3230356055,269490313.5388889,0.44774274339974873
AFW,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,2842919.61715,309688860.0888889,0.917992212033073
AFW,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,18002713.652375,309688860.0888889,5.81316152192486
AFW,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,1377987.8849626954,309688860.0888889,0.44495881594422754
AFW,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,2982211.8743484374,356184248.4666667,0.8372666357893493
AFW,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,19179036.014375,356184248.4666667,5.384582866013476
AFW,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,1470259.3936404297,356184248.4666667,0.4127805763364696
AFW,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,3438747.985004688,408514853.4222223,0.8417681649020863
AFW,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,22177497.13575,408514853.4222223,5.428810470406164
AFW,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,1677960.8955441406,408514853.4222223,0.41074660602606705
AFW,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,3875050.3021468753,465984875.9555556,0.8315828478769056
AFW,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,25102019.88025,465984875.9555556,5.386874376292883
AFW,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,1881070.5365487305,465984875.9555556,0.403676306595011
SSA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,2794891.5028851563,336724824.35055554,0.8300224102204793
SSA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,15168307.2503125,336724824.35055554,4.50465963701006
SSA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,1270160.547855625,336724824.35055554,0.37721024884500154
SSA,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,3304127.534740625,388655531.7447778,0.8501429324593733
