ISO_A3,ghsl_year,flood_type,return_period,ftm3_ghsl_total_built_s_km2,ghsl_total_built_s_km2,relative_exposure_pct
BDI,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.04852441,66.86198044,0.072573994
BDI,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.196304047,77.86990933,0.252092302
BDI,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,2.09925,77.86990933,2.695842358
BDI,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.061588957,77.86990933,0.079092113
BDI,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.254824375,95.61075911,0.266522698
BDI,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,2.62699175,95.61075911,2.747590098
BDI,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.079214336,95.61075911,0.08285086
BDI,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.333117781,118.6686436,0.280712555
BDI,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,3.277827,118.6686436,2.762167748
BDI,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.101510266,118.6686436,0.085540934
BDI,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.37491625,134.9231929,0.277873835
BDI,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,3.84380075,134.9231929,2.848880661
BDI,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.11213907,134.9231929,0.083113264
BDI,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.441200063,160.1220124,0.275539919
BDI,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,4.567656,160.1220124,2.852609664
BDI,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.12759743,160.1220124,0.079687626
BDI,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.538591875,188.0482987,0.286411459
BDI,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,5.1643455,188.0482987,2.746286744
BDI,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.150555219,188.0482987,0.080061995
BDI,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.705764625,236.3693084,0.298585561
BDI,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,6.106123,236.3693084,2.583297739
BDI,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.187873047,236.3693084,0.079482843
BDI,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.955983625,308.66048,0.309720125
BDI,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,7.424012,308.66048,2.405235682
BDI,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.241521391,308.66048,0.078248239
BDI,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.365189125,422.9325084,0.322791249
BDI,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,9.283774,422.9325084,2.195095864
BDI,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.337346219,422.9325084,0.079763606
CPV,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.064100063,8.993805333,0.71271348
