Country Code,Year,Indicator,Value
AFW,2004,Limited (shared),0.38288835578543046
AFW,2004,Open defecation,0.10224625408965296
AFW,2004,Unimproved,0.1812383354760475
AFW,2005,At least basic,0.34335050547175944
AFW,2005,Limited (shared),0.3791971296734678
AFW,2005,Open defecation,0.10045546047398297
AFW,2005,Unimproved,0.17699690438078985
AFW,2006,At least basic,0.3532458320142262
AFW,2006,Limited (shared),0.3753072829590445
AFW,2006,Open defecation,0.09866597309174838
AFW,2006,Unimproved,0.17278091193498085
AFW,2007,At least basic,0.3632717851111537
AFW,2007,Limited (shared),0.37127463045162495
AFW,2007,Open defecation,0.09683789095635642
AFW,2007,Unimproved,0.16861569348086505
AFW,2008,At least basic,0.3734397125801378
AFW,2008,Limited (shared),0.3670754736219247
AFW,2008,Open defecation,0.09498645249964102
AFW,2008,Unimproved,0.16449836129829662
AFW,2009,At least basic,0.38382410637150083
AFW,2009,Limited (shared),0.36269292160963257
AFW,2009,Open defecation,0.09311122144963853
AFW,2009,Unimproved,0.16037175056922806
AFW,2010,At least basic,0.3943616687773441
AFW,2010,Limited (shared),0.3581444044639685
AFW,2010,Open defecation,0.09121486992261453
AFW,2010,Unimproved,0.15627905683607277
