Country Code,Year,Indicator,Value
BDI,2001,Unimproved,0.03482032592968039
BDI,2002,At least basic,0.8318396479217479
BDI,2002,Limited (more than 30 mins),0.06634425286478901
BDI,2002,Surface water,0.06744475804668128
BDI,2002,Unimproved,0.034371341166781796
BDI,2003,At least basic,0.8358298423263818
BDI,2003,Limited (more than 30 mins),0.06709462383257572
BDI,2003,Surface water,0.06315317743716037
BDI,2003,Unimproved,0.03392235640388208
BDI,2004,At least basic,0.839815834341934
BDI,2004,Limited (more than 30 mins),0.06784919718944309
BDI,2004,Surface water,0.05886159682763946
BDI,2004,Unimproved,0.03347337164098349
BDI,2005,At least basic,0.8437976239684071
BDI,2005,Limited (more than 30 mins),0.06860797293539064
BDI,2005,Surface water,0.05457001621811742
BDI,2005,Unimproved,0.0330243868780849
BDI,2006,At least basic,0.8477752112057998
BDI,2006,Limited (more than 30 mins),0.06937095107041856
BDI,2006,Surface water,0.05027843560859651
BDI,2006,Unimproved,0.03257540211518517
BDI,2007,At least basic,0.8517485960541109
BDI,2007,Limited (more than 30 mins),0.07013813159452695
BDI,2007,Surface water,0.0459868549990756
BDI,2007,Unimproved,0.03212641735228658
BDI,2008,At least basic,0.8557177785133427
BDI,2008,Limited (more than 30 mins),0.0709095145077157
BDI,2008,Surface water,0.0416952743895547
BDI,2008,Unimproved,0.03167743258938685
BDI,2009,At least basic,0.8596827585834934
BDI,2009,Limited (more than 30 mins),0.07168509980998451
BDI,2009,Surface water,0.03740369378003265
BDI,2009,Unimproved,0.0312284478264894
BDI,2010,At least basic,0.8636435362645646
BDI,2010,Limited (more than 30 mins),0.07246488750133395
BDI,2010,Surface water,0.03311211317051175
BDI,2010,Unimproved,0.030779463063589668
BDI,2011,At least basic,0.8676001115565544
BDI,2011,Limited (more than 30 mins),0.07324887758176374
BDI,2011,Surface water,0.02882053256099084
BDI,2011,Unimproved,0.03033047830069108
BDI,2012,At least basic,0.871552484459465
BDI,2012,Limited (more than 30 mins),0.07403707005127373
BDI,2012,Surface water,0.024528951951469938
BDI,2012,Unimproved,0.029881493537791362
BDI,2013,At least basic,0.8755006549732941
BDI,2013,Limited (more than 30 mins),0.07482946490986407
BDI,2013,Surface water,0.02023737134194789
BDI,2013,Unimproved,0.0294325087748939
BDI,2014,At least basic,0.8794446230980438
BDI,2014,Limited (more than 30 mins),0.07562606215753505
BDI,2014,Surface water,0.01594579073242699
BDI,2014,Unimproved,0.02898352401199418
BDI,2015,At least basic,0.8833843888337123
BDI,2015,Limited (more than 30 mins),0.07642686179428608
BDI,2015,Surface water,0.01165421012290608
BDI,2015,Unimproved,0.028534539249095593
BDI,2016,At least basic,0.8873199521803014
