ISO3,year,population,built_up_km2,built_up_per_capita_m2
ETH,1980,15613264.414664375,182.75879844444444,11.705354728559692
ETH,1985,18525394.940629747,226.3976772222222,12.220936608789302
ETH,1990,22337843.84435696,276.53835166666664,12.379813987128681
ETH,1995,27771612.865411546,320.34608488888887,11.535019101748581
ETH,2000,33117533.308189392,373.6102301111111,11.281342322035917
ETH,2005,37527484.55514187,436.4523361111111,11.630204936059592
ETH,2010,41248734.49468316,527.0533613333333,12.77744318195432
ETH,2015,43569727.42518563,645.140392111111,14.807078910899623
ETH,2020,42113388.125298396,804.889091888889,19.11242784584637
GAB,1975,417372.361328125,58.59726988888889,140.3956642036044
GAB,1980,495538.16796875,63.21150755555555,127.56132956350164
GAB,1985,573832.8654513889,68.96701477777778,120.18658904021973
GAB,1990,667733.0729166666,75.52411977777778,113.10525543970357
GAB,1995,773942.7296006944,75.77037222222222,97.90178177823952
GAB,2000,879130.6176215279,76.13474055555555,86.60230804102436
GAB,2005,1009271.7625868056,81.24576244444445,80.4993912008478
GAB,2010,1184362.2838541665,87.72064633333333,74.06572087712192
GAB,2015,1401319.782986111,95.3663418888889,68.05466036144165
GAB,2020,1650059.0286458333,103.26185066666667,62.580700977353146
GHA,1975,6221443.540798611,374.50864566666667,60.19642277724394
GHA,1980,7212073.2472873265,415.11087,57.557772330742125
GHA,1985,8298880.3703342015,472.7133944444445,56.9611047936347
GHA,1990,9422854.097764757,541.3840547777778,57.454360341438615
GHA,1995,10947087.182400173,628.8744795555556,57.446740770148274
GHA,2000,12622745.46657986,738.4384622222223,58.50062208552975
GHA,2005,14686212.920681423,838.2146418888889,57.07493459450652
GHA,2010,16979549.646267362,967.8669336666667,57.00192018222546
GHA,2015,19429749.118489582,1106.2395202222222,56.93534761956918
GHA,2020,21958486.97016059,1184.1263745555557,53.925681499124515
GIN,1975,1451002.6156927745,101.75680677777778,70.1286170522818
GIN,1980,1634319.385330836,110.26016755555555,67.46549575634847
GIN,1985,1889181.2100745307,121.3767961111111,64.2483608580474
GIN,1990,2242767.555296156,133.83373644444444,59.67347624964718
GIN,1995,2741564.301550971,149.02262555555555,54.35678655111236
GIN,2000,3173790.3734541996,168.1410611111111,52.977998332043114
GIN,2005,3603527.6883239746,182.14837,50.54723752787881
GIN,2010,4158830.2638753257,200.70997855555555,48.26116138929119
GIN,2015,4860820.959269205,221.15356944444446,45.4971642234059
GIN,2020,5445358.581976997,235.24532822222224,43.201072010360406
GMB,1975,266551.8728298611,28.887177777777776,108.37356898338632
GMB,1980,329927.2161458334,31.265101888888882,94.76363379209425
GMB,1985,415349.4535590278,34.51442366666667,83.09731328865615
GMB,1990,533392.6961805555,38.408069,72.00711459873219
GMB,1995,671025.5894097222,44.88943,66.89674836318486
GMB,2000,805207.1644965279,53.441534,66.36991864499294
GMB,2005,962830.2421875001,56.74269433333334,58.93322815080766
GMB,2010,1156544.8519965278,60.89910288888889,52.65606671782732
GMB,2015,1391486.2473958335,65.21122988888888,46.86444441037897
GMB,2020,1657208.7803819443,66.89590655555556,40.366613638227136
GNB,1975,222118.64279513888,12.059524333333334,54.293165947605274
GNB,1980,282357.9583333333,13.409754333333334,47.49203603994989
GNB,1985,311667.97743055556,15.170668666666668,48.675737532409556
GNB,1990,348209.07508680556,17.145865555555556,49.2401455972428
GNB,1995,415056.97048611107,19.387179777777778,46.70968362504956
GNB,2000,478842.64670138893,22.144412666666668,46.24569849660059
GNB,2005,558858.6493055556,24.38537722222222,43.63424857524131
GNB,2010,657762.5720486111,27.32132388888889,41.53675665034608
GNB,2015,769967.4314236111,30.191250666666665,39.21107495526836
GNB,2020,872755.0173611111,31.00083422222222,35.52065998538432
GNQ,1975,120987.47178819444,9.345300444444444,77.24188551360676
GNQ,1980,123189.50173611111,10.311635777777777,83.705475161891
GNQ,1985,149858.30902777778,11.518691666666667,76.86388390070222
GNQ,1990,181495.2751736111,12.846423999999999,70.78103817144346
GNQ,1995,234778.20746527778,12.86350511111111,54.7900303439089
GNQ,2000,359717.1545138889,12.883983666666666,35.816984274986
GNQ,2005,485041.23350694444,16.36960433333333,33.74889226422637
GNQ,2010,624233.9288194444,22.165879666666665,35.508931256887834
GNQ,2015,788232.9001736111,28.934997444444445,36.70869033514258
GNQ,2020,1363837.0321180555,31.30391477777778,22.952826503883987
KEN,1975,10191002.162119547,275.453461,27.02908473750246
KEN,1980,12267470.14916314,332.5059151111111,27.104685079163932
KEN,1985,14840070.1296658,426.49913233333336,28.73969789945583
KEN,1990,17707814.99009196,551.0583112222222,31.11949789008725
KEN,1995,20567709.589301214,623.5135278888888,30.31516587599157
KEN,2000,23564876.16880968,738.6951148888888,31.347294575076994
KEN,2005,27199663.156548396,897.4118316666667,32.99349063632107
KEN,2010,31072255.473795574,1188.2179085555556,38.24047821561024
KEN,2015,34539928.446614586,1623.1790582222222,46.99427969953763
KEN,2020,37585209.32845052,2268.980988222222,60.368986331670975
LBR,1975,688189.5325520834,52.019491,75.58890180600514
LBR,1980,817514.0149739584,56.52390511111111,69.14120623719418
LBR,1985,1023756.7109375,62.22792966666667,60.78390402899704
LBR,1990,1392039.6629774305,68.6410078888889,49.309663879887445
LBR,1995,968967.5062934029,70.65266777777778,72.91541493279361
LBR,2000,1468104.1004774305,73.31397799999999,49.93786065726411
LBR,2005,1876250.515625,81.39161144444445,43.37992755585306
LBR,2010,2009935.5381944445,92.44766411111111,45.995337837629485
LBR,2015,2362630.155815972,104.63132811111112,44.285953031432044
LBR,2020,2693883.348090278,111.18322444444443,41.27247177323524
LSO,1975,303756.5220269097,19.641996555555558,64.66362079894857
LSO,1980,377042.31749131944,23.90073077777778,63.39004846141187
LSO,1985,456332.6015625,30.46054522222222,66.75075398497536
LSO,1990,527741.1365017361,38.22058255555556,72.42297390139082
LSO,1995,586808.5026041666,44.08146877777777,75.12070561716631
LSO,2000,614487.4529079861,50.951907777777784,82.9177349946759
LSO,2005,616376.9240451389,55.93890788888889,90.7543837328867
LSO,2010,631954.9034288194,61.58084455555556,97.44499840326304
LSO,2015,656028.3389756944,67.45825233333333,102.82825958198833
LSO,2020,676955.8962673611,72.41796322222223,106.97589550740989
MDG,1975,967890.5577256944,70.93116966666666,73.28428725799075
MDG,1980,1151755.4052530925,80.51567922222222,69.90692542443878
MDG,1985,1367491.257473416,92.71754844444443,67.80120014496462
MDG,1990,1640301.8185492621,106.39017955555556,64.86012412621147
MDG,1995,1989815.8931477866,116.87915166666667,58.73867631128921
MDG,2000,2341375.763970269,128.23785122222222,54.77029923841417
MDG,2005,2726124.3819444445,135.88812766666666,49.84663523303461
MDG,2010,3385780.660481771,144.66904544444446,42.72841626541134
MDG,2015,4147609.8374565975,152.89136722222221,36.86252401117325
MDG,2020,5070212.673339844,155.47889677777778,30.66516274461539
MLI,1975,1724141.3815294902,119.15388033333332,69.10911228615812
MLI,1980,1963470.4767506917,130.80311677777777,66.61832623744935
MLI,1985,2222653.5821236507,146.48794900000001,65.90678375531515
MLI,1990,2490535.854256524,164.16255533333333,65.91455210442624
MLI,1995,2903698.5444132485,187.36999155555554,64.52804541850865
MLI,2000,3493645.831190321,216.17321166666665,61.87610940317158
MLI,2005,4358261.3956977,238.71827877777778,54.773740513460446
MLI,2010,5428587.4296875,268.5883522222222,49.47665588904104
MLI,2015,6478580.311848958,301.97823733333337,46.611791904629506
MLI,2020,7754336.6863064235,327.2477254444444,42.20189794213338
MOZ,1980,4653507.146883541,227.3833621111111,48.86279421820379
MOZ,1985,5326274.469076687,263.86565777777776,49.54037936079532
MOZ,1990,5817695.332413409,305.1291121111111,52.44845160781762
MOZ,1995,6997725.444637722,351.0452298888889,50.16561919529022
MOZ,2000,8028475.483788384,411.93622344444447,51.30939544827068
MOZ,2005,9078923.236423068,473.06806311111114,52.106186030216
MOZ,2010,10271497.835144043,553.9264076666667,53.92849383382055
MOZ,2015,11822686.100023057,642.9004012222222,54.378539342338485
MOZ,2020,13028718.234422471,697.6320782222222,53.54571844059427
MRT,1975,365528.46072048607,21.959616333333333,60.07635161992354
MRT,1980,505645.78895399306,24.39208011111111,48.239460594678185
