Year,ISO3,population
2056,IRQ,76793175.0
2057,IRQ,77652184.0
2058,IRQ,78485533.0
2059,IRQ,79299211.0
2060,IRQ,80099843.0
2061,IRQ,80940539.0
2062,IRQ,81736026.0
2063,IRQ,82511163.0
2064,IRQ,83306115.0
2065,IRQ,84078456.0
2066,IRQ,84833069.0
2067,IRQ,85604339.0
2068,IRQ,86303408.0
2069,IRQ,86985144.0
2070,IRQ,87664938.0
2071,IRQ,88326960.0
2072,IRQ,88972921.0
2073,IRQ,89618706.0
2074,IRQ,90270030.0
2075,IRQ,90859751.0
2076,IRQ,91388471.0
2077,IRQ,91927138.0
2078,IRQ,92435141.0
2079,IRQ,92972277.0
2080,IRQ,93513514.0
2081,IRQ,94010344.0
2082,IRQ,94505420.0
2083,IRQ,94981861.0
2084,IRQ,95434487.0
2085,IRQ,95854429.0
2086,IRQ,96301696.0
2087,IRQ,96739554.0
2088,IRQ,97112097.0
2089,IRQ,97477203.0
2090,IRQ,97847203.0
2091,IRQ,98160745.0
2092,IRQ,98485505.0
2093,IRQ,98826019.0
2094,IRQ,99140544.0
2095,IRQ,99408249.0
2096,IRQ,99665367.0
2097,IRQ,99919065.0
2098,IRQ,100148330.0
2099,IRQ,100354865.0
2100,IRQ,100563971.0
2101,IRQ,100734141.0
1950,ISL,141037.0
1951,ISL,144298.0
1952,ISL,146542.0
1953,ISL,148983.0
1954,ISL,152500.0
1955,ISL,156026.0
1956,ISL,159467.0
1957,ISL,162692.0
1958,ISL,166818.0
1959,ISL,170139.0
1960,ISL,173850.0
1961,ISL,177271.0
1962,ISL,180724.0
1963,ISL,183958.0
1964,ISL,187328.0
1965,ISL,190724.0
1966,ISL,193942.0
1967,ISL,197250.0
1968,ISL,200316.0
1969,ISL,202692.0
1970,ISL,204062.0
1971,ISL,204895.0
1972,ISL,207426.0
1973,ISL,210981.0
1974,ISL,213780.0
1975,ISL,216751.0
1976,ISL,219305.0
1977,ISL,221075.0
1978,ISL,222593.0
1979,ISL,224551.0
1980,ISL,226961.0
1981,ISL,229328.0
1982,ISL,232165.0
1983,ISL,235524.0
1984,ISL,238403.0
1985,ISL,240600.0
1986,ISL,242204.0
1987,ISL,244164.0
1988,ISL,247545.0
1989,ISL,251908.0
1990,ISL,253793.0
1991,ISL,255874.0
1992,ISL,259750.0
1993,ISL,262420.0
1994,ISL,265088.0
1995,ISL,267019.0
1996,ISL,268001.0
1997,ISL,269919.0
1998,ISL,272450.0
1999,ISL,275773.0
2000,ISL,279123.0
2001,ISL,283437.0
2002,ISL,286668.0
2003,ISL,288546.0
2004,ISL,290664.0
2005,ISL,293673.0
2006,ISL,299996.0
2007,ISL,307752.0
2008,ISL,315549.0
2009,ISL,319480.0
2010,ISL,317744.0
2011,ISL,318572.0
2012,ISL,319702.0
2013,ISL,321979.0
2014,ISL,325792.0
2015,ISL,329233.0
2016,ISL,332670.0
2017,ISL,338477.0
2018,ISL,348586.0
2019,ISL,357122.0
2020,ISL,364277.0
2021,ISL,368951.0
2022,ISL,376336.0
2023,ISL,384375.0
2024,ISL,390740.0
2025,ISL,396051.0
2026,ISL,400481.0
2027,ISL,404177.0
2028,ISL,407501.0
2029,ISL,410558.0
2030,ISL,413154.0
2031,ISL,415542.0
2032,ISL,417676.0
2033,ISL,419553.0
2034,ISL,421286.0
2035,ISL,422820.0
2036,ISL,424337.0
2037,ISL,425707.0
2038,ISL,426929.0
2039,ISL,428046.0
2040,ISL,429034.0
2041,ISL,429871.0
2042,ISL,430581.0
2043,ISL,431253.0
2044,ISL,431917.0
2045,ISL,432369.0
2046,ISL,432599.0
2047,ISL,432792.0
2048,ISL,432904.0
2049,ISL,432981.0
2050,ISL,433016.0
2051,ISL,432970.0
2052,ISL,432992.0
2053,ISL,432798.0
2054,ISL,432603.0
2055,ISL,432381.0
2056,ISL,431985.0
2057,ISL,431520.0
2058,ISL,430958.0
2059,ISL,430385.0
2060,ISL,429753.0
2061,ISL,428968.0
2062,ISL,428255.0
2063,ISL,427326.0
2064,ISL,426435.0
2065,ISL,425553.0
2066,ISL,424519.0
2067,ISL,423488.0
2068,ISL,422326.0
2069,ISL,421248.0
2070,ISL,420073.0
2071,ISL,418783.0
2072,ISL,417427.0
2073,ISL,415909.0
2074,ISL,414507.0
2075,ISL,413022.0
2076,ISL,411413.0
2077,ISL,409695.0
2078,ISL,407743.0
2079,ISL,405860.0
2080,ISL,403876.0
2081,ISL,401825.0
2082,ISL,399770.0
2083,ISL,397792.0
2084,ISL,395704.0
2085,ISL,393628.0
2086,ISL,391500.0
2087,ISL,389384.0
2088,ISL,387193.0
2089,ISL,384984.0
