ISO3,unique_id,Agglomeration_Name,Surface km2,africapolis_geometry_year,worldpop_year,ftm_return_period,ftm_flood_type,worldpop_population_ftm_total,worldpop_population_ftm_share,worldpop_built_surface_ftm_km2,worldpop_built_surface_ftm_share,worldpop_built_volume_ftm_m3,worldpop_built_volume_ftm_share
AGO,AGO_1809,Benguela,103.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,3074.0,0.0059551138620095,0.0720565546875,0.0053468022417796,420712.3125,0.0048680523632516
AGO,AGO_1809,Benguela,103.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,102146.0,0.1978825831323434,2.7691745,0.2054806601382992,18377762.0,0.2126486558088941
AGO,AGO_1867,Bibala,5.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,23.0,0.003824409710675,0.0022993332519531,0.0040154258929545,8891.333984375,0.0037996228230231
AGO,AGO_1867,Bibala,5.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,319.0,0.0530428999002327,0.0303855546875,0.0530636187513643,119733.78125,0.051167036208947
AGO,AGO_1980,Bocoio,4.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,60.0,0.0039390756302521,0.0031588889160156,0.0026343414757131,20056.4453125,0.0029032389028415
AGO,AGO_1980,Bocoio,4.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,276.0,0.0181197478991596,0.01483177734375,0.0123688952837458,90364.78125,0.0130806104613291
AGO,AGO_2173,Bucau Zau,2.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,1030.0,0.1034967845659164,0.040506,0.096189786395317,159518.890625,0.0882753214335321
AGO,AGO_2173,Bucau Zau,2.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,2253.0,0.226386655948553,0.0895144375,0.2125703506251409,352752.0,0.1952075773867069
AGO,AGO_2311,Caala,15.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,16.0,0.0001954938663799,0.0007554444580078,0.0002015027416277,3982.22216796875,0.0001954430910976
AGO,AGO_2311,Caala,15.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,239.0,0.0029201896290503,0.00927277734375,0.0024733652321666,51857.890625,0.0025451283263593
AGO,AGO_2312,Cabinda,79.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,1907.0,0.0034618344999854,0.056613890625,0.0029363749596866,501375.78125,0.0030555560642639
AGO,AGO_2312,Cabinda,79.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,37614.0,0.0682818263673066,1.244224125,0.0645337835742143,9246070.0,0.0563487234837566
AGO,AGO_2314,Cacolo,3.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_2314,Cacolo,3.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_2315,Caconda,9.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,8.0,0.0004496150171415,0.0006035555419921,0.0003561829331146,2542.111328125,0.0002814729412075
AGO,AGO_2315,Caconda,9.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,79.0,0.004439948294273,0.0058113334960937,0.003429506757761,32910.88671875,0.0036440276946116
AGO,AGO_2316,Cacuso,5.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,5.0,0.0002305634971871,0.000177888885498,0.0001355962725068,445.2221984863281,6.204126464872531e-05
AGO,AGO_2316,Cacuso,5.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,24.0,0.0011067047864982,0.000957,0.0007294757759922,3251.11083984375,0.0004530390189501
AGO,AGO_2317,Cuango,8.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_2317,Cuango,8.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,81.0,0.0008003715304882,0.0018734444580078,0.0007649712634252,12960.0,0.0008281345419582
AGO,AGO_2318,Cahama,5.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,240.0,0.0216939347374129,0.01480377734375,0.0260562448516845,59060.4453125,0.0310566573657779
AGO,AGO_2318,Cahama,5.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,312.0,0.0282021151586369,0.01841533203125,0.0324129706418409,70914.6640625,0.0372901425369406
AGO,AGO_2319,Caimbambo,4.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,12.0,0.001168110581135,0.0008162222290039,0.0008159766200412,2040.4443359375,0.000386101907938
AGO,AGO_2319,Caimbambo,4.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,129.0,0.0125571887472014,0.00956877734375,0.0095658980084494,31325.220703125,0.0059274969020413
AGO,AGO_2324,Calenga,3.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,2.0,0.0002285453091075,0.0001346666717529,0.000195892757088,673.111083984375,0.0002115048724453
AGO,AGO_2324,Calenga,3.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,7.0,0.0007999085818763,0.0004854444580078,0.0007061513591627,1949.888916015625,0.000612693827627
AGO,AGO_2325,Calulo,5.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,153.0,0.0044657190391407,0.004516111328125,0.0033846473961303,30022.77734375,0.0028940138344343
AGO,AGO_2325,Calulo,5.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,1113.0,0.0324859169317883,0.03862066796875,0.0289446680517322,260354.5625,0.0250966023931145
AGO,AGO_2326,Ambaca,4.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,35.0,0.0013006800698651,0.0008495555419921,0.0011687651822813,5418.111328125,0.0011415634606328
AGO,AGO_2326,Ambaca,4.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,209.0,0.0077669181314801,0.0053337778320312,0.0073378767037215,35380.109375,0.0074543761930546
AGO,AGO_2327,Camacupa,10.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_2327,Camacupa,10.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,9.0,0.0001836922134911,0.0002724444274902,0.0001096705378495,1318.3333740234375,8.787595040326644e-05
AGO,AGO_2328,Camanongue,3.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_2328,Camanongue,3.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,56.0,0.0048759251197213,0.003351111328125,0.0062589395234417,23347.333984375,0.0077376539618909
AGO,AGO_2331,Cangandala,2.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,3.0,0.0003456619426201,8.777777862548829e-05,0.0002758269160384,221.33334350585935,0.0001422717781909
AGO,AGO_2331,Cangandala,2.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,18.0,0.0020739716557207,0.0006402222290039,0.002011790748987,1812.4444580078125,0.0011650286930502
AGO,AGO_2343,Katchiungo,6.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,2.0,0.0001176332196212,0.0001233333358764,0.0001011082302451,308.4444580078125,4.773722834139712e-05
AGO,AGO_2343,Katchiungo,6.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,22.0,0.0012939654158334,0.0012481110839843,0.0010231970290448,3139.5556640625,0.0004859016971609
AGO,AGO_2344,Gama (south),9.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,155.0,0.0071022727272727,0.0052243334960937,0.0064053052454111,21155.447265625,0.0059294532645707
AGO,AGO_2344,Gama (south),9.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,995.0,0.0455920087976539,0.03797077734375,0.0465541526922265,164255.234375,0.0460374920680699
AGO,AGO_2345,Caxito,6.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,434.0,0.0139218579585552,0.022388779296875,0.0149400758167608,139812.453125,0.0150795166706573
AGO,AGO_2345,Caxito,6.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,18282.0,0.5864502470007057,0.8983104375,0.5994442959697631,5575017.0,0.6012952345206046
AGO,AGO_2346,Cazombo,12.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,6.0,0.0001425212000285,0.0002811111145019,0.0001511474408926,708.111083984375,6.643257086876277e-05
AGO,AGO_2346,Cazombo,12.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,149.0,0.0035392764673745,0.006735,0.0036212656202365,25938.66796875,0.0024334775108721
AGO,AGO_2348,Cela,12.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,6.0,0.0001209945754098,0.000476,0.0001495894774487,2059.0,0.0001032989956568
AGO,AGO_2348,Cela,12.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,55.0,0.0011091169412571,0.0029818891601562,0.0009370992463821,15583.5556640625,0.0007818191592325
AGO,AGO_2413,Chibia,6.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,27.0,0.0016887665749311,0.0013088889160156,0.0013024327568399,5075.5556640625,0.0010591194524779
AGO,AGO_2413,Chibia,6.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,148.0,0.0092569427070302,0.0078515546875,0.0078128265065072,28180.443359375,0.0058804311718411
AGO,AGO_2436,Chipindo,3.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_2436,Chipindo,3.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_2457,Chongoroi,2.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,39.0,0.0071678000367579,0.0022411110839843,0.0058772604669171,12323.6669921875,0.0057630182272242
AGO,AGO_2457,Chongoroi,2.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,649.0,0.1192795442014335,0.039492890625,0.1035691655149625,224926.21875,0.1051841062614425
AGO,AGO_2501,Conda,3.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,22.0,0.001453488372093,0.0006847777099609,0.0010896122425626,2968.77783203125,0.0008242298488015
AGO,AGO_2501,Conda,3.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,80.0,0.0052854122621564,0.0023465556640625,0.0037338186424951,10792.5556640625,0.0029963665273956
AGO,AGO_2512,Cuango Luzamba,2.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_2512,Cuango Luzamba,2.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,17.0,0.0006296995962514,0.000251,0.0004479159417031,1399.4444580078125,0.0003954585758031
AGO,AGO_2513,Cubal,11.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,83.0,0.0016834333928281,0.004781111328125,0.0017471373808257,13755.4453125,0.0009300977468629
AGO,AGO_2513,Cubal,11.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,1868.0,0.0378873925036508,0.120707,0.0441093497628392,396055.5625,0.0267799680741014
AGO,AGO_2514,Cuchi,0.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,4.0,0.0036529680365296,0.000175333328247,0.002857080697547,438.3333129882813,0.0028568385744154
AGO,AGO_2514,Cuchi,0.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,17.0,0.0155251141552511,0.0008004443969726,0.0130433515345563,2001.111083984375,0.0130422470002175
AGO,AGO_2515,Kuimba,6.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,169.0,0.0042743689615053,0.0022184445800781,0.0041163261452674,12404.5556640625,0.0041930571114708
AGO,AGO_2515,Kuimba,6.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,1500.0,0.0379381860488643,0.021120111328125,0.0391883877702537,123526.3359375,0.0417550612358688
AGO,AGO_2568,Damba,4.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,3.0,0.0002354788069073,0.000128777770996,0.0001791538679793,528.3333129882812,0.0001425300697061
AGO,AGO_2568,Damba,4.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,3.0,0.0002354788069073,0.000128777770996,0.0001791538679793,528.3333129882812,0.0001425300697061
AGO,AGO_2839,Dombe Grande,4.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,1.0,9.399379640943698e-05,2.255555534362793e-05,3.015984840035452e-05,56.44444274902344,1.6388154639574173e-05
AGO,AGO_2839,Dombe Grande,4.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,3661.0,0.3441112886549488,0.24288065625,0.3247645052529394,1156388.0,0.3357472311598962
AGO,AGO_2846,Dondo,4.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,748.0,0.0240979381443298,0.025291556640625,0.021740412449832,143609.765625,0.0136423403634106
AGO,AGO_2846,Dondo,4.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,7977.0,0.2569909793814433,0.28812490625,0.247669781182334,2254754.5,0.2141924554438308
AGO,AGO_2908,Dundo,21.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_2908,Dundo,21.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,1401.0,0.0096410581078477,0.0385606640625,0.0076934116645554,280601.65625,0.0081009980119471
AGO,AGO_2954,Ecunha,3.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_2954,Ecunha,3.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_3306,Gabela,9.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,807.0,0.0085717017005321,0.0176444453125,0.0080238058330286,145336.78125,0.0077099123027122
AGO,AGO_3306,Gabela,9.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,6300.0,0.0669166303759015,0.1249741171875,0.0568319396108343,1099292.25,0.0583159112900145
AGO,AGO_3359,Ganda,12.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,16.0,0.000357374193116,0.0009925556030273,0.0003304925121509,5778.5556640625,0.0002985226905571
AGO,AGO_3359,Ganda,12.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,153.0,0.0034173907216725,0.008483,0.0028245953899459,49744.10546875,0.0025698020521358
AGO,AGO_3562,Golungo Alto,2.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,347.0,0.0243167484232655,0.0081387778320312,0.0207870585778169,72248.0,0.0220513815992684
AGO,AGO_3562,Golungo Alto,2.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,2219.0,0.1555010511562718,0.05362166796875,0.1369538247769653,506061.90625,0.1544591436105078
AGO,AGO_3835,Huambo,87.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,431.0,0.0008278861243596,0.016836443359375,0.0007272883605727,92955.8828125,0.0006067693049469
AGO,AGO_3835,Huambo,87.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,7972.0,0.0153130120264385,0.3169244375,0.0136902699492328,2283729.75,0.0149070405354469
AGO,AGO_4465,Caluquembe,11.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_4465,Caluquembe,11.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,20.0,0.0010166734444896,0.0010493333740234,0.0006499042014963,3761.333251953125,0.0005106257702595
AGO,AGO_5212,Cacongo,3.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,3.0,0.0002695902228612,0.0001005555572509,0.0001709207064405,251.55555725097656,6.810767387743991e-05
AGO,AGO_5212,Cacongo,3.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,196.0,0.0176132278936017,0.0096626669921875,0.0164242525580384,54003.11328125,0.0146211296936535
AGO,AGO_5296,Lobito,72.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,1600.0,0.0033940155021658,0.0484072265625,0.0031821226745048,621218.125,0.0034185011555649
AGO,AGO_5296,Lobito,72.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,82627.0,0.1752733243109087,2.5150895,0.1653332342026593,22409672.0,0.1233181817221312
AGO,AGO_5303,Longonjo,3.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,20.0,0.0023350846468184,0.0015647778320312,0.0022420429588154,11457.3330078125,0.0028990104906901
AGO,AGO_5303,Longonjo,3.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,205.0,0.023934617629889,0.015839888671875,0.0226956888947594,86607.328125,0.0219139613585304
AGO,AGO_5331,Luanda,947.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,19742.0,0.0028251360693258,0.8570808125,0.003301857358495,5016979.5,0.0028065653068452
AGO,AGO_5331,Luanda,947.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,377493.0,0.0540203165949769,14.317595,0.0551577584251448,93966872.0,0.0525663226146274
AGO,AGO_5334,Luau,12.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_5334,Luau,12.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,15.0,0.0002290356074024,0.0006873333740234,0.0002433991410525,4342.22216796875,0.0002576429879817
AGO,AGO_5336,Lubango,134.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,917.0,0.0016510266252799,0.04095809765625,0.0016251245149297,312896.75,0.0015475913570126
AGO,AGO_5336,Lubango,134.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,18131.0,0.0326442352703938,0.68521825,0.0271879076391224,6327010.5,0.0312934754532546
AGO,AGO_5347,Lucala,1.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,46.0,0.0050516143202284,0.0011907778320312,0.0048372764506666,4143.33349609375,0.0033675918707151
AGO,AGO_5347,Lucala,1.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,356.0,0.0390951021304634,0.00910033203125,0.0369681233928593,35501.55859375,0.0288547277767392
AGO,AGO_5348,Lucapa,11.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_5348,Lucapa,11.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,325.0,0.0046639113713334,0.0050681108398437,0.0029789934066488,26975.888671875,0.0024372104623287
AGO,AGO_5357,Luena,55.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,154.0,0.0005926404827326,0.0080354443359375,0.0008137396144755,43848.33203125,0.0006954719427103
AGO,AGO_5357,Luena,55.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,2876.0,0.0110677534307726,0.135080234375,0.0136794100298823,884080.125,0.0140222647832348
AGO,AGO_5365,Londuimbale,4.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,6.0,0.0005171076445746,0.000367,0.0004836628698472,1923.666748046875,0.0005715906903857
AGO,AGO_5365,Londuimbale,4.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,29.0,0.0024993536154442,0.0015878887939453,0.0020926508203756,8163.111328125,0.0024255544493222
AGO,AGO_5384,Lumbala-N'guimbo,4.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,15.0,0.0011913271384322,0.0003006666564941,0.0005772371263844,1292.5555419921875,0.0005150050450364
AGO,AGO_5384,Lumbala-N'guimbo,4.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,116.0,0.0092129298705424,0.0021933334960937,0.0042108876961974,8394.6669921875,0.0033447660173382
AGO,AGO_5385,Cameia,3.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_5385,Cameia,3.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_5599,Malanje,53.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,146.0,0.0003443493683783,0.0044237778320312,0.0002946783200141,27971.6640625,0.0002964242998624
AGO,AGO_5599,Malanje,53.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,7641.0,0.0180217364642395,0.275812125,0.018372498963678,1577784.125,0.0167202621031838
AGO,AGO_5705,Maquela do Zombo,8.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_5705,Maquela do Zombo,8.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,489.0,0.0090081792056591,0.010367,0.0090765664015577,99086.7734375,0.0089304380525206
AGO,AGO_5782,Matala,24.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,317.0,0.0036071916249431,0.0114914462890625,0.0018995381990648,73400.671875,0.0019406494515626
AGO,AGO_5782,Matala,24.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,1710.0,0.0194583522985889,0.070059109375,0.0115807837501653,440852.90625,0.011655764571077
AGO,AGO_5815,Mavinga,2.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_5815,Mavinga,2.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_5853,Mbanza Congo,18.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,468.0,0.003346753720403,0.00937377734375,0.0027636724825114,96489.5546875,0.0032543343213921
AGO,AGO_5853,Mbanza Congo,18.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,4147.0,0.0296559565780158,0.092426671875,0.0272501725125103,910826.9375,0.0307197537925699
AGO,AGO_5948,Menongue,36.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,17.0,7.851577474286084e-05,0.000393888885498,5.047231005019912e-05,2249.77783203125,4.754514407160123e-05
AGO,AGO_5948,Menongue,36.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,5033.0,0.0232452878988716,0.138378546875,0.0177316120848138,910561.625,0.0192431372690736
AGO,AGO_6377,Mungo,5.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_6377,Mungo,5.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_6420,Mussende,3.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,126.0,0.0089730807577268,0.004701111328125,0.00690793361741,33099.4453125,0.0069878452338402
AGO,AGO_6420,Mussende,3.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,870.0,0.0619569861843042,0.03443277734375,0.0505964065838351,264760.1875,0.0558952936179214
AGO,AGO_6520,Namacunde/Oshikango [AGO],4.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_6520,Namacunde/Oshikango [AGO],4.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,4321.0,0.1925579322638146,0.197616765625,0.1931864214225173,1156160.5,0.1815737209467409
AGO,AGO_6532,Namibe,31.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,122.0,0.0005853003262329,0.0044073330078125,0.000623333043562,33992.5546875,0.0006287885350054
AGO,AGO_6532,Namibe,31.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,11553.0,0.055426021876799,0.41755509375,0.0590551898349091,2748722.0,0.0508453952757131
AGO,AGO_6609,Ndalatando,12.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,972.0,0.0066625996476773,0.02309922265625,0.0065576459632782,256314.5625,0.0076775219750964
AGO,AGO_6609,Ndalatando,12.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,14387.0,0.0986160711225657,0.33137521875,0.0940742205010266,3152846.75,0.0944388409739157
AGO,AGO_6649,Negage,11.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,100.0,0.0011496234983043,0.0021734443359375,0.000922627356798,13387.77734375,0.0008759204395946
AGO,AGO_6649,Negage,11.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,2298.0,0.0264183479910329,0.0495215546875,0.0210219053464515,340738.375,0.0222934471909265
AGO,AGO_6723,Sumbe,29.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,2974.0,0.0157538709284401,0.084927671875,0.0145153498734465,624809.25,0.0104953611123466
