Agglomeration_ID,Agglomeration_Name,ISO3,africapolis_pop_2015,africapolis_pop_2020
1505.0,Bajoga,NGA,54030.0,68021.0
6876.0,Nto Edino,NGA,87388.0,67670.0
1873.0,Bichi,NGA,34480.0,67590.0
7059.0,Okuku,NGA,61574.0,66859.0
2967.0,Effium,NGA,65665.0,66439.0
7031.0,Okeiho,NGA,94361.0,66359.0
3880.0,Idanre,NGA,69236.0,66267.0
6433.0,Mutum Biyu,NGA,51192.0,66151.0
186.0,Adikpo,NGA,165847.0,66103.0
5595.0,Malam Maduri,NGA,29489.0,66022.0
1936.0,Birnin Gwari,NGA,28745.0,65563.0
3689.0,Gwarzo,NGA,39040.0,64207.0
3985.0,Ikole,NGA,95345.0,63231.0
5496.0,Magumeri,NGA,10260.0,63139.0
54.0,Abonnema,NGA,23616.0,63020.0
7982.0,Shinkafi,NGA,41025.0,62865.0
1331.0,Askira,NGA,27010.0,62618.0
3865.0,Ibiagidi,NGA,80765.0,62414.0
4515.0,Kankara,NGA,26934.0,61663.0
3989.0,Ikot,NGA,84127.0,61360.0
5988.0,Michika,NGA,97634.0,60770.0
4946.0,Koko 1,NGA,46463.0,60277.0
7152.0,Otuocha,NGA,34790.0,60248.0
8384.0,Tarau,NGA,23626.0,60228.0
4473.0,Kamba,NGA,51468.0,60200.0
377.0,Aiyetoro,NGA,70814.0,59952.0
3081.0,Elele,NGA,22511.0,59924.0
3479.0,Gezawa,NGA,24140.0,59683.0
4085.0,Irele,NGA,68838.0,59110.0
7245.0,Oye Ekiti,NGA,77046.0,58995.0
1391.0,Awgu,NGA,21262.0,57349.0
9168.0,Zing,NGA,57279.0,56921.0
2571.0,Danbatta,NGA,51653.0,56797.0
5120.0,Kumo,NGA,53835.0,56690.0
8165.0,Song,NGA,47014.0,56580.0
4251.0,Ungwan Abdullah Maifata,NGA,31962.0,56469.0
6725.0,Ngurore,NGA,30525.0,56313.0
6777.0,Damare,NGA,100854.0,55906.0
425.0,Aku,NGA,19467.0,55903.0
1670.0,Barakin Babele,NGA,38860.0,55640.0
236.0,Agaie,NGA,39435.0,55583.0
7088.0,Omuo Ekiti,NGA,108183.0,55510.0
8706.0,Ugba,NGA,54150.0,55157.0
4404.0,Kagoro,NGA,30274.0,54645.0
1452.0,Babura,NGA,26381.0,54412.0
7011.0,Oja Odan,NGA,46442.0,54251.0
1724.0,Batsari,NGA,24758.0,54066.0
7469.0,Rano,NGA,26197.0,53912.0
8614.0,Tsafe,NGA,30960.0,53841.0
717.0,Aliade,NGA,70420.0,53821.0
7616.0,Sabon Wuse,NGA,59825.0,53801.0
281.0,Agwa,NGA,29602.0,53758.0
8584.0,Toto-Owu,NGA,17622.0,53685.0
6954.0,Obudi,NGA,33010.0,53458.0
148.0,Achi 1,NGA,35075.0,53260.0
3873.0,Ibusa,NGA,44272.0,53141.0
8961.0,Wase,NGA,21349.0,52930.0
2626.0,Darazo,NGA,34720.0,52733.0
6938.0,Ipu/Ozaa/Asa,NGA,37884.0,52401.0
2642.0,Dawakin Kudu,NGA,26710.0,52372.0
4463.0,Kaltungo,NGA,108638.0,52310.0
7274.0,Pambeguwa,NGA,30903.0,52155.0
7965.0,Shendam,NGA,53441.0,51919.0
8703.0,Udi,NGA,67561.0,51661.0
393.0,Akabuka,NGA,38745.0,51475.0
5175.0,Kwoi,NGA,52089.0,51400.0
