ISO3,agglosName,agglosID,POP_2000,POP_2020,BU_2000,BU_2020,POP_CAGR_2000_2020,BU_CAGR_2000_2020
TZA,Kasota,11244,4868.824652777777,7481.208333333333,0.1137173333333333,0.2997388888888889,2.170938052399718,4.965316904664752
TZA,Kasulu mjini,4618,68390.90972222222,153984.59722222222,1.8266457777777776,5.035786222222223,4.1415278878985,5.201188779084198
TZA,Kaswa,10905,3292.4014756944443,7899.473958333333,0.1273244444444444,0.5793062222222223,4.473048908189936,7.8697867494117
TZA,Katesh,4640,11565.628472222224,21191.8125,0.3463813333333333,1.229890777777778,3.074193004984682,6.540714077278609
TZA,Katoke (izigo),4651,10205.315104166666,15510.402777777776,0.460775,0.5875857777777778,2.1150684626424665,1.2229799085061055
TZA,Katoro,4653,63196.40277777778,141348.29166666666,2.4624084444444443,6.326439111111111,4.106994839492084,4.8310563415997265
TZA,Katumba,10389,4438.610243055556,7183.645833333333,0.4768434444444445,0.5227885555555556,2.436538633544738,0.461003680058214
TZA,Kayanga,4668,20355.581597222223,26919.053819444445,0.5112232222222223,1.248519,1.4072052262392276,4.565695184856322
TZA,Kazumarimba,4678,18323.211805555555,27894.90625,0.3996481111111111,0.9232685555555556,2.123611598902886,4.27555595413851
TZA,Kengeja,4711,15449.911458333334,18097.121527777777,0.4066397777777777,0.6754604444444445,0.793882777525523,2.5697986807218687
TZA,Kibaigwa,4772,18484.522569444445,27375.928819444445,0.3619497777777777,1.966079555555556,1.9830582231337601,8.829751783021699
TZA,Kibara,4776,17676.664930555555,27525.11111111111,0.5289067777777778,1.3547222222222224,2.2389634053772145,4.815028346414785
TZA,Kibaya,4778,11251.28125,29120.868055555555,0.5270722222222222,1.4708945555555557,4.8697220123640195,5.265381944091363
TZA,Kibiti,4783,13859.883680555557,15736.09375,0.4243485555555555,1.0157855555555555,0.636811263033521,4.460948582489888
TZA,Kibondo mjini,4788,25614.91145833333,26924.604166666668,0.7838007777777778,1.4763377777777775,0.24964038825638912,3.2164700033542104
TZA,Kidatu,4796,16341.423611111111,26681.494791666668,0.9446483333333332,1.217385222222222,2.4816274168664165,1.2763155250927527
TZA,Kidodi,4798,25721.097222222223,43696.038194444445,1.1399686666666666,1.4778205555555557,2.6851468602633766,1.306296612977853
TZA,Kighare,10517,6045.920138888889,8558.172743055555,0.2165982222222222,0.5196381111111111,1.7526976761495838,4.4725764971312865
TZA,Kigoma,4805,183679.16666666663,313347.3055555556,13.025018666666666,14.054796444444444,2.706588327103643,0.3811831655252895
TZA,Kigwa 'b',10789,4612.702256944444,3759.7751736111113,0.2916213333333333,0.303260111111111,-1.0170660284768762,0.19586522946009044
TZA,Kihanga,11321,2932.040364583333,4237.390625,0.0517765555555555,0.2186068888888889,1.858300994238271,7.467348641726312
TZA,Kijini,11831,8392.015625,13192.762152777776,0.3784841111111111,0.5002938888888889,2.2877139199897645,1.4048850967423032
TZA,Kilimahewa,4835,11550.474826388889,14766.668402777776,0.1993294444444444,0.7561622222222222,1.2358035145564994,6.893716262456451
TZA,Kilindoni,4820,12357.708333333334,17055.40451388889,0.7750623333333333,0.9317365555555556,1.623981068531588,0.9247832020816249
TZA,Kilosa,4826,16043.534722222224,26960.42361111111,1.0202558888888889,1.3136623333333333,2.629291946433465,1.2718472650396384
TZA,Kingwe,11326,5023.566840277777,6646.616319444444,0.2960089999999999,0.4484236666666666,1.409682085023789,2.098457419218702
TZA,Kirando,4876,12857.357638888889,22997.37326388889,0.4986933333333334,0.8707268888888888,2.94999396400466,2.8258763829513756
TZA,Kisarawe,4893,9483.115451388889,9506.879340277776,0.2860784444444444,0.405161,0.01251468918890275,1.755320126627824
TZA,Kisawasawa,11349,1423.249782986111,5134.385850694444,0.0567375555555555,0.2419791111111111,6.625325221341272,7.521511967747174
TZA,Kisumu/mbale/busia/sirari [tza],4693,16038.135416666666,24159.671875,1.0788698888888888,1.695635,2.0697045754382914,2.2864638867503784
TZA,Kitama,4908,9369.936631944443,11646.670138888889,0.4914857777777777,0.919387111111111,1.093505443712095,3.180914514678568
TZA,Kitanga,4909,13783.605902777776,24355.866319444445,0.1834903333333333,0.9245603333333332,2.887363072317184,8.421672746979759
TZA,Kiuyu,10497,11879.799479166666,12956.052083333334,0.2868334444444444,0.4334237777777778,0.4345594147926013,2.0855204541115
TZA,Kiwira,4925,26061.378472222223,31228.621527777777,1.1407994444444445,1.801449888888889,0.908504902286178,2.310602979819243
TZA,Kome,11392,4834.37890625,6078.544270833333,0.1693614444444444,0.217093,1.1516438164882903,1.2491914083587519
TZA,Konde,4975,11747.377604166666,18153.600694444445,0.1881946666666666,0.4271794444444444,2.2000462849421254,4.1837899022471925
TZA,Kondoa mjini,4976,20989.197916666668,34735.708333333336,0.977870888888889,2.3656086666666667,2.550791306362199,4.516069562717084
TZA,Kongwa,4983,10861.6875,15944.503472222224,0.4919023333333333,1.299656777777778,1.9379005280538264,4.9778054552698014
TZA,Korogwe,5000,42146.25347222222,61875.30555555556,1.8408576666666667,3.3660786666666667,1.9384249666305475,3.0635749145927704
TZA,Korongwe,10964,6960.909722222223,13469.315972222224,0.2980566666666667,0.4454725555555556,3.3555915503029388,2.029581587623186
TZA,Kukirango,5078,10734.34375,14571.618055555557,0.3241036666666667,0.7819843333333334,1.5398725657737034,4.502265451027898
