ISO3,year,population,built_up_km2,population_density
BWA,1995,948674.28515625,158.30100233333334,5992.85077904076
BWA,2000,1067165.2261284722,182.7769807777778,5838.619401564266
BWA,2005,1157684.0364583333,192.8398442222222,6003.344594721082
BWA,2010,1256420.4613715278,205.41367666666667,6116.537524472499
BWA,2015,1357941.6809895833,217.6614908888889,6238.777817077348
BWA,2020,1476292.1705729167,221.23712066666667,6672.895426067379
CAF,1975,983934.7827148438,41.06438066666667,23960.784668878165
CAF,1980,1047670.030544705,44.404167111111114,23593.957475278257
CAF,1985,1111770.367513021,48.812553666666666,22776.320515929732
CAF,1990,1215541.7570529513,53.93228366666667,22538.295699950635
CAF,1995,1406071.4637586805,58.661164222222226,23969.375350822436
CAF,2000,1601390.6265190972,64.63847266666666,24774.574033908393
CAF,2005,1789596.7738715278,67.77511433333333,26404.924454570246
CAF,2010,1986634.304904514,71.67997188888889,27715.3332033109
CAF,2015,2084320.130642361,76.27635833333333,27325.899874948507
CAF,2020,2292270.2102864585,81.15658311111112,28245.031054943767
CIV,1975,3849929.534939236,250.2513461111111,15384.251053058772
CIV,1980,4695292.438483344,267.8102902222222,17532.15843419351
CIV,1985,5558138.816826714,289.7401271111111,19183.186230519077
CIV,1990,6542493.288682726,313.79702444444445,20849.44336316047
CIV,1995,7832469.99758572,336.54362633333335,23273.267965051175
CIV,2000,9171257.746365018,365.93346433333335,25062.63744714751
CIV,2005,10329174.983940972,394.58621666666664,26177.23211722501
CIV,2010,11500589.120768229,433.970938,26500.82785213656
CIV,2015,12817144.951497396,482.03763755555553,26589.51076205165
CIV,2020,14556220.730034722,534.1288694444445,27252.263569229777
CMR,1975,5109541.59967041,245.92163455555558,20777.11303808094
CMR,1980,5825776.39316135,284.0099964444444,20512.575142054684
CMR,1985,6638656.412543403,336.41901522222224,19733.297204256498
CMR,1990,7668987.838161892,398.29726055555557,19254.432800931107
CMR,1995,8976428.775716146,431.20510177777777,20817.074609525756
CMR,2000,10356037.208170572,469.71310844444446,22047.57972896862
CMR,2005,11904810.9968533,502.7725892222222,23678.321475858043
CMR,2010,13691344.536132812,544.6342093333334,25138.605510828784
CMR,2015,15770751.816080729,591.7463813333334,26651.201111776623
CMR,2020,17872777.17296007,636.1735383333333,28094.1851492027
COD,1975,13089550.476303948,512.665564,25532.33802983488
COD,1980,15085208.819417318,558.574062,27006.640382483994
COD,1985,17372305.692077637,620.4371531111111,28000.105417553088
COD,1990,20309838.025041368,691.2816724444444,29379.974668247247
COD,1995,24880846.756781682,740.55336,33597.6421155954
COD,2000,28425894.314602323,800.7568663333334,35498.78310099859
COD,2005,33085525.363023546,857.9390265555555,38563.958904929365
COD,2010,38874032.68967014,933.4804246666666,41644.18627584133
COD,2015,46175417.8218316,1033.8917413333334,44661.7532337405
COD,2020,54032103.95985243,1183.9080697777779,45638.76650489795
COG,1975,1565113.0183556876,98.92644511111112,15820.977056213847
COG,1980,1757877.5696529811,104.19040533333333,16871.77973853787
COG,1985,1974615.2476128472,110.86128377777779,17811.585616949713
COG,1990,2244317.1619737414,118.50740988888887,18938.201113989297
COG,1995,2516491.5889756945,119.1138308888889,21126.779066682142
COG,2000,2784026.1763237845,120.01499277777779,23197.31986718313
COG,2005,3144402.953450521,125.18173544444444,25118.70395698424
COG,2010,3656059.128797743,131.63998255555558,27773.16631179884
COG,2015,4107064.3636610243,141.79341566666668,28965.127501520004
COG,2020,4672484.3846571185,163.28451622222224,28615.59989128483
COM,1975,180278.71375868056,8.621132333333334,20911.25698901972
COM,1980,208264.97295464412,9.776611444444443,21302.367813031033
COM,1985,233525.2548828125,11.213296222222223,20825.74563757784
COM,1990,263480.9464789496,12.888376000000001,20443.3007291958
COM,1995,295549.0831976997,12.90037,22910.124531133577
COM,2000,327836.5635036892,12.913104333333333,25387.897057210786
COM,2005,364646.6345214844,13.34198222222222,27330.76903026703
COM,2010,407532.7262369791,13.857936333333333,29407.894251665453
COM,2015,455887.203016493,14.324210444444445,31826.34078050047
COM,2020,496771.92404513893,14.47917488888889,34309.40836458537
CPV,1975,80208.546875,5.641368555555556,14217.923556157579
CPV,1980,86475.78776041666,6.0748706666666665,14235.00062888856
CPV,1985,93294.27864583331,6.630786555555556,14069.86605045632
CPV,1990,101241.72352430555,7.281851888888888,13903.293429901616
CPV,1995,148354.29774305556,8.153643666666667,18194.84684492044
CPV,2000,170634.8828125,9.957579666666666,17136.180530265407
CPV,2005,179357.4865451389,10.184745444444445,17610.40445473033
