ISO_A3,WB_NAME_pop,surface_area_km2_pop,worldpop_pop_2015,worldpop_pop_2020,worldpop_pop_cagr_2015_2020,pop_ftm3_all_flood_rp10_2015,pop_ftm3_all_flood_rp10_2020,pop_ftm3_all_flood_rp100_2015,pop_ftm3_all_flood_rp100_2020,pop_ftm3_fluvial_pluvial_flood_rp10_2015,pop_ftm3_fluvial_pluvial_flood_rp10_2020,pop_ftm3_fluvial_pluvial_flood_rp100_2015,pop_ftm3_fluvial_pluvial_flood_rp100_2020,pop_ftm3_coastal_flood_rp10_2015,pop_ftm3_coastal_flood_rp10_2020,pop_ftm3_coastal_flood_rp100_2015,pop_ftm3_coastal_flood_rp100_2020,pop_ftm3_all_flood_rp10_cagr_2015_2020,pop_ftm3_all_flood_rp100_cagr_2015_2020,pop_ftm3_fluvial_pluvial_flood_rp10_cagr_2015_2020,pop_ftm3_fluvial_pluvial_flood_rp100_cagr_2015_2020,pop_ftm3_coastal_flood_rp10_cagr_2015_2020,pop_ftm3_coastal_flood_rp100_cagr_2015_2020,WB_NAME_builtup,surface_area_km2_builtup,worldpop_built_km2_2015,worldpop_built_km2_2020,worldpop_built_cagr_2015_2020,built_ftm3_all_flood_rp10_2015,built_ftm3_all_flood_rp10_2020,built_ftm3_all_flood_rp100_2015,built_ftm3_all_flood_rp100_2020,built_ftm3_fluvial_pluvial_flood_rp10_2015,built_ftm3_fluvial_pluvial_flood_rp10_2020,built_ftm3_fluvial_pluvial_flood_rp100_2015,built_ftm3_fluvial_pluvial_flood_rp100_2020,built_ftm3_coastal_flood_rp10_2015,built_ftm3_coastal_flood_rp10_2020,built_ftm3_coastal_flood_rp100_2015,built_ftm3_coastal_flood_rp100_2020,built_ftm3_all_flood_rp10_cagr_2015_2020,built_ftm3_all_flood_rp100_cagr_2015_2020,built_ftm3_fluvial_pluvial_flood_rp10_cagr_2015_2020,built_ftm3_fluvial_pluvial_flood_rp100_cagr_2015_2020,built_ftm3_coastal_flood_rp10_cagr_2015_2020,built_ftm3_coastal_flood_rp100_cagr_2015_2020
COM,Comoros,1758.21,719110,794087,0.0200337736299311,4184.0,4610.0,30280.0,33244.0,1963,2150,27910,30619,2226.0,2466.0,2736.0,3029.0,0.0195812726989264,0.0188528873837257,0.0183653924108131,0.0186998289980546,0.0206893479798011,0.0205555199647933,Comoros,1758.21,25.596464,26.005476,0.0031756163,0.1806337684392929,0.1832122504711151,1.0006437301635742,1.012531042098999,0.061699107,0.061987437,0.8735611,0.88315535,0.1193531081080436,0.1216432005167007,0.1488823145627975,0.1513553261756897,0.0028387650255827,0.0023647226232916,0.0009329319,0.0021870136,0.0038083894434057,0.0033002473148706
CPV,Cabo Verde,4451.38,512346,514496,0.0008378713489154,6231.0,6361.0,2459.0,2703.0,4414,4378,0,0,1845.0,2014.0,2459.0,2703.0,0.0041382920069765,0.0191016468256979,-0.0016365211832097,0.0,0.0176832326605227,0.0191016468256979,Cabo Verde,4451.38,21.625698,23.77139,0.01910019,0.2603620886802673,0.3035140037536621,0.1385803371667862,0.170324221253395,0.15457912,0.17287436,0.0,0.0,0.1065406948328018,0.1316301375627517,0.1385803371667862,0.170324221253395,0.0311460853525316,0.0421133504782915,0.022623897,0.0,0.0432009216232076,0.0421133504782915
ERI,Eritrea,130383.14,3095193,3262064,0.0105573114714982,22946.0,24055.0,155372.0,162716.0,17245,18060,149309,156342,5701.0,5995.0,6175.0,6493.0,0.0094845450610923,0.0092796127620469,0.0092782387751606,0.0092480879870007,0.0101075780339845,0.0100937599744641,Eritrea,130383.14,84.56969,115.744736,0.06477368,0.3941761553287506,0.5125600099563599,3.1798620223999023,3.985052347183228,0.31392163,0.42545184,3.0962784,3.8938017,0.0802612006664276,0.0871165171265602,0.0858306363224983,0.0939008146524429,0.0539278334118555,0.0461769591156384,0.06268811,0.04690373,0.0165271216125366,0.0181350897897041
ETH,Ethiopia,1165071.92,102478968,117298560,0.0273811364586094,852182.0,968676.0,3689150.0,4202030.0,852182,968676,3689150,4202030,0.0,0.0,0.0,0.0,0.0259571834243297,0.0263761859578863,0.0259571834243297,0.0263761859578863,0.0,0.0,Ethiopia,1165071.92,1537.4949,2577.6006,0.10886943,10.91708278656006,16.9801025390625,49.23139190673828,73.95329284667969,10.917083,16.980103,49.23139,73.95329,0.0,0.0,0.0,0.0,0.0923623950072116,0.0847835238013685,0.092362404,0.084783554,0.0,0.0
GAB,Gabon,266515.47,2010530,2295414,0.0268572971250911,70115.0,78976.0,198503.0,224510.0,63555,71367,192345,217366,6647.0,7710.0,7134.0,8271.0,0.0240869668062795,0.0249288619962528,0.0234568653558346,0.0247599467065426,0.030115067996481,0.0300184006128201,Gabon,266515.47,132.33807,145.92957,0.01974523,3.636162281036377,4.308972358703613,10.725296020507812,12.127914428710938,3.0337563,3.6423557,10.128324,11.469682,0.6041887998580933,0.6710135340690613,0.6554673314094543,0.7243306040763855,0.0345371486818746,0.0248855435810371,0.03724253,0.025186181,0.0212021533461186,0.0201808258875528
GHA,Ghana,244746.04,28368838,31569282,0.0216088146678483,140154.0,152520.0,1330202.0,1463398.0,136783,148734,1326977,1459761,3839.0,4303.0,4889.0,5487.0,0.0170545801129282,0.0192693669124826,0.0168938636533984,0.0192569283209114,0.0230824781965026,0.0233471504375335,Ghana,244746.04,1770.3193,1939.6714,0.01843965,6.740229606628418,7.661447525024414,76.64431762695312,83.50169372558594,6.394635,7.287793,76.326965,83.15961,0.4036593437194824,0.432732492685318,0.4905911386013031,0.5264430046081543,0.0259524385090592,0.0172859925178936,0.026493192,0.017295003,0.0140068744955168,0.0142063653771387
GIN,Guinea,254826.14,11616322,13202221,0.0259251378069844,263864.0,295135.0,731819.0,820428.0,244515,273453,712846,799153,20118.0,22528.0,21561.0,24126.0,0.0226525714922223,0.0231218475452121,0.0226227194822519,0.0231206338795197,0.0228867823474065,0.0227353913175949,Guinea,254826.14,601.49664,652.9088,0.01653862,8.95702075958252,10.015826225280762,27.23758888244629,29.923194885253903,8.223781,9.228966,26.511276,29.143318,0.7567273378372192,0.812221109867096,0.7989133596420288,0.8579367995262146,0.0225972960430114,0.0189851621684906,0.023331404,0.019111395,0.0142545620270899,0.0143576819712201
GMB,"Gambia, The",11348.83,2194719,2485601,0.0252044870572418,12257.0,13854.0,80549.0,90815.0,11263,12645,79775,89872,1166.0,1392.0,1279.0,1522.0,0.0247978354688032,0.0242818727142004,0.0234177614887509,0.0241215827518066,0.0360677058063314,0.0354015757587473,"Gambia, The",11348.83,109.5303,113.370926,0.006916523,0.6677786111831665,0.7045797109603882,4.163629531860352,4.331244468688965,0.5468408,0.571058,4.0584,4.2134185,0.1244789958000183,0.1374942362308502,0.1358172297477722,0.14976167678833,0.0107867160517003,0.00792478204401,0.008704305,0.007525325,0.0200881049152141,0.019739319217201
GNB,Guinea-Bissau,35636.77,1763730,1990595,0.0244957505655947,21876.0,23708.0,55465.0,60521.0,16814,18204,50994,55646,5671.0,6159.0,5917.0,6430.0,0.016214531266687,0.0176007434665115,0.0160127471532443,0.0176137683366095,0.0166468312699481,0.0167680262281133,Guinea-Bissau,35636.77,93.20297,97.851135,0.009781122,0.620961606502533,0.6801131367683411,1.6019723415374756,1.7244423627853394,0.45411628,0.4909851,1.4477102,1.5513726,0.1826310753822326,0.2063478678464889,0.1905244290828704,0.2158556431531906,0.0183645737149609,0.0148427042946837,0.015734553,0.01392746,0.0247196442664043,0.0252801460890925
GNQ,Equatorial Guinea,27167.73,1426798,1696973,0.0352911179886614,37539.0,44261.0,126681.0,149858.0,34974,41178,124594,147346,2894.0,3495.0,3086.0,3726.0,0.0334933928312979,0.0341741781297948,0.0331990274834641,0.0341135872160347,0.0384598992642217,0.0384112528694806,Equatorial Guinea,27167.73,52.1599,58.10217,0.02181232,1.1593226194381714,1.3024557828903198,4.1025824546813965,4.594000339508057,1.0373368,1.1555533,4.0022964,4.470465,0.1343965828418731,0.1621595472097396,0.1442303955554962,0.1726101338863372,0.0235563001489995,0.0228848373265913,0.021819115,0.022371411,0.0382713237497631,0.0365777892304699
