ISO3,agglosID,agglosName,pop_2000,pop_2020,pop_cagr,built_up_2000,built_up_2020,built_up_cagr,size_category
KEN,11098,Nyadundo,6232.912760416667,7588.4609375,0.009887816310680364,0.106141,0.59956,0.09042920271971999,Fewer than 300 000
KEN,11172,Kuruwitu,4674.903211805556,7714.378472222223,0.025360105286829082,0.0473768888888888,0.2633318888888889,0.08954919911113035,Fewer than 300 000
KEN,11192,Ituka,6532.719184027777,4643.425347222223,-0.01692370536420129,0.0890338888888889,0.478894,0.0877628004397677,Fewer than 300 000
KEN,11245,Kapyego,3788.75,7446.864583333333,0.03436513942518293,0.1945743333333333,0.425311,0.03987479862895915,Fewer than 300 000
KEN,11399,Kilima (marakwet),1680.6451822916667,2884.357421875,0.027374192377333628,0.093234,0.254453,0.05148156515087665,Fewer than 300 000
KEN,11446,Mauthini,641.8532986111111,2710.9220920138887,0.07469211620780936,0.0032668888888888,0.2362281111111111,0.2386820970269674,Fewer than 300 000
KEN,11450,Kiasa,2632.629774305556,3195.561414930556,0.00973606651021841,0.1510488888888889,0.3526895555555555,0.04331092039563145,Fewer than 300 000
KEN,11579,Sololo township,3528.631293402778,5600.265190972223,0.02336395363139876,0.0625862222222222,0.4153517777777777,0.09925099346450583,Fewer than 300 000
KEN,11598,Kongasis,1057.2889539930557,6778.071180555556,0.09735114597256911,0.0159881111111111,0.4393052222222222,0.18018057024466883,Fewer than 300 000
KEN,11639,Kibwer,2121.860677083333,4205.501302083333,0.03479672454345906,0.0179107777777777,0.287996,0.14898299329870213,Fewer than 300 000
KEN,11665,Kiawaroga,3599.3604600694443,4327.390625,0.009252974194644326,0.1490734444444444,0.2653698888888889,0.02925401028932595,Fewer than 300 000
KEN,11671,Itumbule,4920.756076388889,6139.688368055556,0.011127039774990966,0.061651,0.8702102222222222,0.14152178158964612,Fewer than 300 000
KEN,11724,Kapsimotwo (nandi),3357.724392361112,7895.438368055556,0.043678074896069674,0.060739,0.4040117777777777,0.09937617107637342,Fewer than 300 000
KEN,11747,Kalemungorok,5089.260850694444,9263.041666666666,0.030397853526612728,0.0344386666666666,0.3713486666666666,0.12625511660255517,Fewer than 300 000
