unique_id,ISO3,Agglomeration_Name,worldpop_built_km2_2015,worldpop_built_km2_2020,worldpop_built_km2_2025,africapolis_pop_2015,africapolis_pop_2020,africapolis_pop_2025,worldpop_built_cagr_2015_2020,worldpop_built_cagr_2020_2025,africapolis_pop_cagr_2015_2020,africapolis_pop_cagr_2020_2025,buppercapita_2015,size_category_2015,buppercapita_2020,size_category_2020,buppercapita_2025,size_category_2025
SEN_7826,SEN,Sedhiou,1.627831,1.682941,1.688409,25351,32271,39142,0.006681100500951498,0.0006489719422368978,0.04945414115458435,0.03936028470349795,64.21170762494576,Fewer than 300 000,52.150258746242756,Fewer than 300 000,43.13548106892852,Fewer than 300 000
SEN_7866,SEN,Popenguine,1.934018,2.361487,2.396336,28408,48126,56042,0.04074662085160008,0.0029341760487444635,0.11118871330602453,0.03092428878740039,68.08004787383835,Fewer than 300 000,49.06884012799734,Fewer than 300 000,42.75964455230006,Fewer than 300 000
SEN_8116,SEN,Sinthiou Bamambe,0.696966,0.721283,0.72793,14471,17656,17920,0.006882565052171774,0.0018363478358331964,0.040587861019818705,0.0029727576248577137,48.16294658282081,Fewer than 300 000,40.85200498414137,Fewer than 300 000,40.62109375,Fewer than 300 000
SEN_8153,SEN,Sokone,0.953298,1.00084,1.004716,15437,18712,21086,0.009780999306208571,0.0007733523055437619,0.03922948713865404,0.024176481287121465,61.75409729869793,Fewer than 300 000,53.486532706284734,Fewer than 300 000,47.64848714787062,Fewer than 300 000
SEN_8331,SEN,Tambacounda,7.162801,7.310896,7.334889,112332,137688,161021,0.004101334040689242,0.000655502845410938,0.04154615513592419,0.03180418625870618,63.764563971085714,Fewer than 300 000,53.09755388995409,Fewer than 300 000,45.55237515603555,Fewer than 300 000
SEN_8472,SEN,Thiadaye,0.816325,0.927946,0.937258,15679,18107,20346,0.02596352587871209,0.0019990053026246457,0.029213865338486578,0.02359111560318361,52.06486383060144,Fewer than 300 000,51.24791517092837,Fewer than 300 000,46.065958910842426,Fewer than 300 000
SEN_8473,SEN,Thies,14.38387,15.662112,15.778195,358806,431482,492388,0.01717321435828456,0.0014779663589081782,0.03757762380630281,0.026760033368827596,40.08815348684247,300 000 to 500 000,36.29841337529723,300 000 to 500 000,32.04423137850638,300 000 to 500 000
SEN_8475,SEN,Thilogne,0.484998,0.532063,0.538867,10931,13602,15455,0.018696050119836327,0.0025446088014127177,0.04469273667226181,0.025872168587253608,44.36904217363462,Fewer than 300 000,39.11652698132627,Fewer than 300 000,34.86683921061145,Fewer than 300 000
SEN_8531,SEN,Tivaouane,4.271818,4.681247,4.721514,75232,87697,101842,0.018473569504274145,0.0017144647063960239,0.03113713082719638,0.030358685827034604,56.78192790301999,Fewer than 300 000,53.37978494133208,Fewer than 300 000,46.36116729836413,Fewer than 300 000
SEN_8587,SEN,Touba,43.599792,50.872368,51.160288,872732,1037691,1224891,0.03133440812049937,0.0011293769287639144,0.03523138492704714,0.03372704503031265,49.95782439511786,500 000 to 1 million,49.02458246240933,1 to 5 million,41.76721683806967,1 to 5 million
SEN_8820,SEN,Velingara,2.273904,2.321765,2.32778,33671,39907,45722,0.00417458826254169,0.0005176041885190941,0.03456698052440221,0.027579017470828804,67.5330106025957,Fewer than 300 000,58.179392086601354,Fewer than 300 000,50.91159616814663,Fewer than 300 000
SEN_9008,SEN,Wodabe 2 ,0.593867,0.720522,0.729602,10305,11990,14906,0.03942129602647482,0.0025077853784518656,0.03075212163049801,0.04449986157193586,57.62901504124212,Fewer than 300 000,60.09357798165138,Fewer than 300 000,48.94686703340936,Fewer than 300 000
SEN_9164,SEN,Ziguinchor,7.519491,7.68334,7.702574,214936,258258,290189,0.0043204862952732626,0.0005001670938227232,0.037406403098144914,0.023588581409826004,34.98479082145383,Fewer than 300 000,29.750636959939285,Fewer than 300 000,26.54330108997929,Fewer than 300 000
SLE_1973,SLE,Bo,10.349283,11.303151,11.376104,185781,255000,264266,0.01778923551753575,0.0012875238817164902,0.06538794123159053,0.007164065304542833,55.70689683013871,Fewer than 300 000,44.32608235294117,Fewer than 300 000,43.04792898064828,Fewer than 300 000
SLE_2050,SLE,Bonthe,0.289958,0.292491,0.293802,10075,10200,10200,0.001741076328811486,0.0008948349462680749,0.0024691658728368537,0.0,28.779950372208436,Fewer than 300 000,28.675588235294118,Fewer than 300 000,28.804117647058824,Fewer than 300 000
SLE_2632,SLE,Daru,0.602853,0.622439,0.625025,16021,16000,16000,0.006414937267931187,0.0008295473576351853,-0.0002622934800081689,0.0,37.62892453654578,Fewer than 300 000,38.9024375,Fewer than 300 000,39.064062500000006,Fewer than 300 000
SLE_3280,SLE,Freetown,47.761872,50.091556,50.343448,1456596,1984000,2051833,0.009570464109842636,0.00100370950538764,0.06375229720435693,0.006746361082778929,32.7900612112075,1 to 5 million,25.24776008064516,1 to 5 million,24.53584087983769,1 to 5 million
SLE_4240,SLE,Kabala,1.583563,1.692022,1.695374,33852,45000,46227,0.01333754034183876,0.0003958987466299302,0.05858475748791303,0.005394810503717595,46.77900862578282,Fewer than 300 000,37.60048888888888,Fewer than 300 000,36.6749735003353,Fewer than 300 000
SLE_4413,SLE,Kailahun,1.059249,1.130619,1.135546,23326,32000,33158,0.013126425742454817,0.0008700427031886893,0.06527550612755717,0.007134955770173201,45.4106576352568,Fewer than 300 000,35.33184375,Fewer than 300 000,34.246516677724834,Fewer than 300 000
SLE_4469,SLE,Kamakwie,0.507849,0.520079,0.521491,14962,16500,16500,0.004770656280639773,0.0005424057025578133,0.01976208031123261,0.0,33.94258788931961,Fewer than 300 000,31.519939393939392,Fewer than 300 000,31.605515151515156,Fewer than 300 000
SLE_4475,SLE,Kambia,1.297187,1.397043,1.405467,32234,48000,50790,0.014942496552209361,0.0012030774888838192,0.08289265288333914,0.011363777476300907,40.24281814233419,Fewer than 300 000,29.105062500000003,Fewer than 300 000,27.672120496160662,Fewer than 300 000
SLE_4709,SLE,Kenema,7.583434,7.82986,7.850327,200443,263000,269178,0.006416195865411201,0.0005222477406370274,0.055827503544681356,0.004654566724426434,37.83336908747125,Fewer than 300 000,29.771330798479088,Fewer than 300 000,29.16407358699448,Fewer than 300 000
SLE_4944,SLE,Koidu,5.765567,6.123766,6.147295,138364,205000,216652,0.01212770452610168,0.0007672703850152285,0.08179794093018367,0.011117828864916302,41.66956000115637,Fewer than 300 000,29.872029268292682,Fewer than 300 000,28.37405147425364,Fewer than 300 000
SLE_5389,SLE,Lunsar,1.667661,1.732185,1.743105,34163,34000,34000,0.007621208997440787,0.001257667865388612,-0.0009560751610508955,0.0,48.81482890846823,Fewer than 300 000,50.94661764705883,Fewer than 300 000,51.26779411764706,Fewer than 300 000
SLE_5481,SLE,Magburaka,1.491741,1.547662,1.558931,23136,27000,27000,0.007387455773502749,0.0014520381645077851,0.03137143202956749,0.0,64.47704875518673,Fewer than 300 000,57.32081481481482,Fewer than 300 000,57.73818518518519,Fewer than 300 000
SLE_5529,SLE,Mahera,4.603064,4.672196,4.6907,75464,75000,75000,0.0029858544071335036,0.0007908382180801254,-0.0012327610872456818,0.0,60.99681967560691,Fewer than 300 000,62.29594666666666,Fewer than 300 000,62.54266666666667,Fewer than 300 000
SLE_5565,SLE,Makeni,7.781056,8.066268,8.108244,153839,201000,205412,0.0072257527045416214,0.0010386190087270375,0.05493553565010667,0.004352004649813335,50.57921593354091,Fewer than 300 000,40.13068656716418,Fewer than 300 000,39.473078495900914,Fewer than 300 000
SLE_5767,SLE,Masingbi,0.370863,0.391378,0.394553,15007,10100,10100,0.010826410541149079,0.001617233040599908,-0.0761414163148928,0.0,24.712667421869796,Fewer than 300 000,38.75029702970297,Fewer than 300 000,39.06465346534654,Fewer than 300 000
SLE_5805,SLE,Mattru Jong,0.635641,0.698854,0.700871,11581,12000,12000,0.019142494865311166,0.000576565484482483,0.0071334880872115924,0.0,54.88653829548398,Fewer than 300 000,58.237833333333334,Fewer than 300 000,58.40591666666666,Fewer than 300 000
