ISO3,unique_id,Agglomeration_Name,Surface km2,africapolis_geometry_year,worldpop_year,worldpop_population_total,worldpop_built_surface_km2,worldpop_built_volume_m3
BDI,BDI_7568,Rugombo,4.0,2015,2015,21434.0,0.959983,5798612.0
BDI,BDI_7580,Rumonge,7.0,2015,2015,46836.0,2.004364,17479372.0
BDI,BDI_7591,Rutana,6.0,2015,2015,11530.0,0.742472,4287496.0
BDI,BDI_7596,Ruyigi,6.0,2015,2015,15462.0,0.880716,4714365.0
BEN,BEN_1211,Hilacondji,8.0,2015,2015,0.0,0.0,0.0
BEN,BEN_1218,Aniviekome,1.0,2015,2015,1292.0,0.203349,837278.0
BEN,BEN_1253,Aplahoué,2.0,2015,2015,5350.0,0.460993,2373041.0
BEN,BEN_1432,Djakotomey,8.0,2015,2015,47967.0,2.493829,18830860.0
BEN,BEN_154,Adakplame,2.0,2015,2015,4565.0,0.456193,2383695.0
BEN,BEN_1644,Banikoara,7.0,2015,2015,21792.0,1.577235,9217488.0
BEN,BEN_1653,Banté,4.0,2015,2015,16403.0,1.060215,6302484.0
BEN,BEN_1708,Bassila I,4.0,2015,2015,13260.0,0.940746,5379461.0
BEN,BEN_191,Adja Tokpa I,6.0,2015,2015,11737.0,1.074637,3876530.0
BEN,BEN_192,Adjaglimey,2.0,2015,2015,4794.0,0.38282,1578918.0
BEN,BEN_193,Adjaha,0.0,2015,2015,1626.0,0.118702,803796.0
BEN,BEN_195,Adjegounle,2.0,2015,2015,3451.0,0.348715,1600590.0
BEN,BEN_2496,Colli Bossouvi,5.0,2015,2015,17889.0,1.13971,7471246.0
BEN,BEN_2498,Comé,13.0,2015,2015,61351.0,3.289906,21871672.0
BEN,BEN_2504,Copargo,3.0,2015,2015,9886.0,0.652194,3668037.0
BEN,BEN_2505,Cotonou,354.0,2015,2015,2384337.0,99.05308,757376576.0
BEN,BEN_2507,Cove,10.0,2015,2015,42740.0,2.649072,16237222.0
BEN,BEN_251,Agbozounkpa,2.0,2015,2015,9931.0,0.618626,4158884.0
BEN,BEN_2573,Dame,1.0,2015,2015,2479.0,0.340936,1920665.0
BEN,BEN_2638,Dassa-Zoume,11.0,2015,2015,37698.0,2.345155,14886884.0
BEN,BEN_266,Agon,4.0,2015,2015,6726.0,0.63663,2617660.0
BEN,BEN_2674,Djeregbe 1,7.0,2015,2015,22609.0,1.5777,9886611.0
BEN,BEN_2804,Djidja Mandjavi,1.0,2015,2015,4583.0,0.358867,2160563.0
BEN,BEN_2811,Djougou,26.0,2015,2015,120390.0,6.215428,44486520.0
BEN,BEN_2823,Dogbo-Tota,5.0,2015,2015,24317.0,1.078815,7089092.0
BEN,BEN_2832,Doko-Centre,2.0,2015,2015,5283.0,0.480525,2445174.0
BEN,BEN_2842,Doméguédji,1.0,2015,2015,1035.0,0.154871,671360.0
BEN,BEN_2849,Donga,1.0,2015,2015,3711.0,0.394304,2077055.0
BEN,BEN_295,Ahomey Glon,0.0,2015,2015,865.0,0.103844,413691.0
BEN,BEN_3272,Founougo A,2.0,2015,2015,6590.0,0.541367,2986232.0
BEN,BEN_3353,Gamia Est,4.0,2015,2015,12091.0,0.794255,4032442.0
BEN,BEN_3436,Gbakéhoué,1.0,2015,2015,4940.0,0.339573,1978511.0
BEN,BEN_3437,Gbanlin,2.0,2015,2015,3038.0,0.363071,1647526.0
BEN,BEN_3441,Gbeko,1.0,2015,2015,1742.0,0.224857,1120012.0
BEN,BEN_3537,Glazoué,8.0,2015,2015,27346.0,1.828269,10827422.0
BEN,BEN_3541,Glogbo,7.0,2015,2015,29243.0,1.764793,12596316.0
BEN,BEN_3551,Gogounou,3.0,2015,2015,7337.0,0.62478,3405425.0
BEN,BEN_3586,Gouka,3.0,2015,2015,7191.0,0.689178,4489333.0
BEN,BEN_3589,Goumori A,2.0,2015,2015,6006.0,0.482898,2339231.0
BEN,BEN_3596,Gourou,3.0,2015,2015,9671.0,0.690874,3671166.0
BEN,BEN_3653,Guimaro-Sinakpagourou,2.0,2015,2015,3845.0,0.410106,2155909.0
BEN,BEN_3830,Houinta,1.0,2015,2015,2313.0,0.287366,1409462.0
BEN,BEN_3832,Houssoukoué,5.0,2015,2015,9655.0,0.773313,3340286.0
BEN,BEN_3887,Idigny Centre,2.0,2015,2015,4669.0,0.439028,2253804.0
BEN,BEN_3901,Ifangni ,9.0,2015,2015,25618.0,1.976901,12608043.0
BEN,BEN_4009,Ilare,1.0,2015,2015,4148.0,0.337074,2156939.0
BEN,BEN_4057,Ina 3,3.0,2015,2015,8326.0,0.68386,3900757.0
BEN,BEN_4504,Kandi,12.0,2015,2015,54612.0,2.983756,19168226.0
BEN,BEN_4726,Kérou,3.0,2015,2015,10651.0,0.6131,3834389.0
BEN,BEN_4734,Kétonou,2.0,2015,2015,4265.0,0.449909,2016580.0
BEN,BEN_4735,Ketou,16.0,2015,2015,55533.0,3.849547,25089188.0
BEN,BEN_48,Abolou,2.0,2015,2015,2853.0,0.29799,999811.0
BEN,BEN_4818,Kilibo Olata,2.0,2015,2015,7421.0,0.583135,3256771.0
BEN,BEN_49,Abomey,94.0,2015,2015,423731.0,23.686392,155266384.0
BEN,BEN_4934,Klouekanme,4.0,2015,2015,19994.0,1.108276,7336793.0
BEN,BEN_4964,Kolokonde,4.0,2015,2015,9186.0,0.698978,3390378.0
