ISO3_Code,Year,Rural_Pop,Urban_Pop,Total_Pop,Urbanization_Rate
COM,2029.0,609603.437867012,338203.562132989,947807.0000000009,0.35682745762902013
COM,2030.0,615675.94391732,348588.05608268,964264.0,0.3615068654255266
COM,2031.0,621502.541060152,359273.458939848,980776.0,0.36631550827084675
COM,2032.0,627081.0984404731,370268.90155952703,997350.0000000001,0.37125272127089487
COM,2033.0,632452.3790089,381609.6209911,1014062.0,0.3763178395316065
COM,2034.0,637582.5820239009,393287.417976099,1030870.0,0.3815101981589328
COM,2035.0,642457.7478970829,405305.252102917,1047763.0,0.38682913225883814
COM,2036.0,647137.66338434,417713.33661566,1064851.0,0.3922739769372992
COM,2037.0,651532.117025141,430466.882974859,1081999.0,0.39784406730030153
COM,2038.0,655599.2027059321,443548.797294068,1099148.0,0.403538738453846
COM,2039.0,659405.294660898,457014.705339102,1116420.0,0.409357325503934
COM,2040.0,662920.944941148,470857.05505885195,1133778.0,0.4152991635565798
COM,2041.0,666096.727362241,485052.27263775904,1151149.0,0.42136358771780114
COM,2042.0,668914.772580903,499597.22741909703,1168512.0,0.4275499330936242
COM,2043.0,671421.751897895,514537.248102105,1185959.0,0.43385753479007705
COM,2044.0,673640.753884441,529903.2461155601,1203544.000000001,0.4402857279131961
COM,2045.0,675455.700081203,545616.299918797,1221072.0,0.44683384756901884
COM,2046.0,676814.135607744,561640.864392256,1238455.0,0.4535012288635889
COM,2047.0,677723.291132688,577987.708867312,1255711.0,0.46028720690295133
COM,2048.0,678285.955059877,594752.044940123,1273038.0,0.46719111679315384
COM,2049.0,678460.156867724,611908.8431322761,1290369.0,0.47421229364025025
COM,2050.0,678164.862906557,629393.137093443,1307558.0,0.4813500717317648
CPV,1950.0,172385.70148000697,12586.2985199927,184971.99999999968,0.06804434465753045
CPV,1951.0,174596.12483254803,12601.875167452,187198.00000000003,0.06731842844182095
CPV,1952.0,176804.81263297301,12627.187367027202,189432.0000000002,0.06665815367534096
CPV,1953.0,178877.741584384,12668.258415616201,191546.0000000002,0.06613689878993134
