ISO3_Code,Category,Year,Pop
BEN,Cities,1953,171701.0
BEN,Rural,1953,1007291.0
BEN,Towns,1953,1127210.0
BFA,Cities,1953,31350.0
BFA,Rural,1953,3272692.0
BFA,Towns,1953,1057275.0
BWA,Cities,1953,0.0
BWA,Rural,1953,233511.0
BWA,Towns,1953,210462.0
CAF,Cities,1953,111253.0
CAF,Rural,1953,870429.0
CAF,Towns,1953,527265.0
CIV,Cities,1953,162092.0
CIV,Rural,1953,1918278.0
CIV,Towns,1953,884762.0
CMR,Cities,1953,415187.0
CMR,Rural,1953,1841538.0
CMR,Towns,1953,2281721.0
COD,Cities,1953,1609360.0
COD,Rural,1953,6934928.0
COD,Towns,1953,4525162.0
COG,Cities,1953,379148.0
COG,Rural,1953,238293.0
COG,Towns,1953,275025.0
COM,Cities,1953,0.0
COM,Rural,1953,91869.0
COM,Towns,1953,80731.0
CPV,Cities,1953,0.0
CPV,Rural,1953,80374.0
CPV,Towns,1953,111172.0
ERI,Cities,1953,223640.0
ERI,Rural,1953,422349.0
ERI,Towns,1953,208713.0
ETH,Cities,1953,560962.0
ETH,Rural,1953,11225740.0
ETH,Towns,1953,6888074.0
GAB,Cities,1953,0.0
GAB,Rural,1953,148913.0
GAB,Towns,1953,332839.0
GHA,Cities,1953,541454.0
GHA,Rural,1953,2965692.0
GHA,Towns,1953,2046824.0
GIN,Cities,1953,98749.0
GIN,Rural,1953,2077324.0
GIN,Towns,1953,986449.0
GMB,Cities,1953,0.0
GMB,Rural,1953,223656.0
GMB,Towns,1953,107433.0
GNB,Cities,1953,0.0
GNB,Rural,1953,318928.0
GNB,Towns,1953,238697.0
GNQ,Cities,1953,0.0
GNQ,Rural,1953,103348.0
GNQ,Towns,1953,135448.0
KEN,Cities,1953,218857.0
KEN,Rural,1953,4686506.0
KEN,Towns,1953,1278528.0
LBR,Cities,1953,0.0
LBR,Rural,1953,599631.0
LBR,Towns,1953,374745.0
LSO,Cities,1953,0.0
LSO,Rural,1953,527998.0
LSO,Towns,1953,86476.0
MDG,Cities,1953,114456.0
MDG,Rural,1953,3690155.0
MDG,Towns,1953,462924.0
MLI,Cities,1953,131725.0
MLI,Rural,1953,3473268.0
MLI,Towns,1953,1299808.0
MOZ,Cities,1953,241696.0
MOZ,Rural,1953,3920119.0
MOZ,Towns,1953,1961303.0
MRT,Cities,1953,0.0
MRT,Rural,1953,561758.0
MRT,Towns,1953,137632.0
MUS,Cities,1953,197245.0
MUS,Rural,1953,112243.0
MUS,Towns,1953,262432.0
MWI,Cities,1953,0.0
MWI,Rural,1953,2871742.0
MWI,Towns,1953,247493.0
NAM,Cities,1953,0.0
NAM,Rural,1953,426276.0
NAM,Towns,1953,106954.0
NER,Cities,1953,0.0
NER,Rural,1953,2040100.0
NER,Towns,1953,819092.0
NGA,Cities,1953,4409481.0
NGA,Rural,1953,13507024.0
NGA,Towns,1953,21523316.0
RWA,Cities,1953,0.0
RWA,Rural,1953,1337326.0
RWA,Towns,1953,1061034.0
