 ISO3_Code , Category , Year , Pop , Pop_Rel 
 SYC , Rural ," 1,950 "," 27,790 ", 1 
 SYC , Urban ," 1,950 "," 10,494 ", 0 
 TCD , Rural ," 1,950 "," 2,411,809 ", 1 
 TCD , Urban ," 1,950 "," 113,645 ", 0 
 TGO , Rural ," 1,950 "," 1,298,056 ", 1 
 TGO , Urban ," 1,950 "," 101,544 ", 0 
 TZA , Rural ," 1,950 "," 7,343,876 ", 1 
 TZA , Urban ," 1,950 "," 281,279 ", 0 
 UGA , Rural ," 1,950 "," 5,564,632 ", 1 
 UGA , Urban ," 1,950 "," 186,282 ", 0 
 ZAF , Rural ," 1,950 "," 7,549,570 ", 1 
 ZAF , Urban ," 1,950 "," 5,488,921 ", 0 
 ZMB , Rural ," 1,950 "," 2,054,352 ", 1 
 ZMB , Urban ," 1,950 "," 266,950 ", 0 
 ZWE , Rural ," 1,950 "," 2,491,199 ", 1 
 ZWE , Urban ," 1,950 "," 299,706 ", 0 
 AFE , Rural ," 1,951 "," 92,606,025 ", 1 
 AFE , Urban ," 1,951 "," 12,938,542 ", 0 
 AFW , Rural ," 1,951 "," 73,377,758 ", 1 
 AFW , Urban ," 1,951 "," 8,408,861 ", 0 
 AGO , Rural ," 1,951 "," 4,307,358 ", 1 
 AGO , Urban ," 1,951 "," 295,204 ", 0 
 BDI , Rural ," 1,951 "," 2,277,742 ", 1 
 BDI , Urban ," 1,951 "," 28,004 ", 0 
 BEN , Rural ," 1,951 "," 2,112,343 ", 1 
 BEN , Urban ," 1,951 "," 154,965 ", 0 
 BFA , Rural ," 1,951 "," 4,074,754 ", 1 
 BFA , Urban ," 1,951 "," 185,630 ", 0 
 BWA , Rural ," 1,951 "," 412,108 ", 1 
 BWA , Urban ," 1,951 "," 11,448 ", 0 
 CAF , Rural ," 1,951 "," 1,223,650 ", 1 
 CAF , Urban ," 1,951 "," 237,601 ", 0 
 CIV , Rural ," 1,951 "," 2,517,982 ", 1 
 CIV , Urban ," 1,951 "," 291,385 ", 0 
 CMR , Rural ," 1,951 "," 3,910,860 ", 1 
 CMR , Urban ," 1,951 "," 484,493 ", 0 
 COD , Rural ," 1,951 "," 10,063,093 ", 1 
 COD , Urban ," 1,951 "," 2,479,551 ", 0 
 COG , Rural ," 1,951 "," 579,440 ", 1 
 COG , Urban ," 1,951 "," 274,195 ", 0 
 COM , Rural ," 1,951 "," 153,382 ", 1 
 COM , Urban ," 1,951 "," 12,151 ", 0 
 CPV , Rural ," 1,951 "," 174,596 ", 1 
 CPV , Urban ," 1,951 "," 12,602 ", 0 
 ERI , Rural ," 1,951 "," 765,325 ", 1 
 ERI , Urban ," 1,951 "," 61,701 ", 0 
 ETH , Rural ," 1,951 "," 16,902,286 ", 1 
 ETH , Urban ," 1,951 "," 1,086,775 ", 0 
 GAB , Rural ," 1,951 "," 421,352 ", 1 
 GAB , Urban ," 1,951 "," 54,286 ", 0 
 GHA , Rural ," 1,951 "," 4,392,742 ", 1 
 GHA , Urban ," 1,951 "," 836,382 ", 0 
 GIN , Rural ," 1,951 "," 2,811,253 ", 1 
 GIN , Urban ," 1,951 "," 250,720 ", 0 
 GMB , Rural ," 1,951 "," 281,473 ", 1 
 GMB , Urban ," 1,951 "," 33,018 ", 0 
 GNB , Rural ," 1,951 "," 492,449 ", 1 
 GNB , Urban ," 1,951 "," 57,288 ", 0 
 GNQ , Rural ," 1,951 "," 191,469 ", 1 
 GNQ , Urban ," 1,951 "," 39,146 ", 0 
 KEN , Rural ," 1,951 "," 5,529,441 ", 1 
 KEN , Urban ," 1,951 "," 364,135 ", 0 
 LBR , Rural ," 1,951 "," 811,526 ", 1 
 LBR , Urban ," 1,951 "," 124,882 ", 0 
 LSO , Rural ," 1,951 "," 579,860 ", 1 
 LSO , Urban ," 1,951 "," 10,409 ", 0 
 MDG , Rural ," 1,951 "," 3,728,460 ", 1 
 MDG , Urban ," 1,951 "," 328,740 ", 0 
 MLI , Rural ," 1,951 "," 4,546,555 ", 1 
 MLI , Urban ," 1,951 "," 220,146 ", 0 
 MOZ , Rural ," 1,951 "," 5,835,257 ", 1 
 MOZ , Urban ," 1,951 "," 142,899 ", 0 
 MRT , Rural ," 1,951 "," 651,933 ", 1 
 MRT , Urban ," 1,951 "," 18,951 ", 0 
 MUS , Rural ," 1,951 "," 355,751 ", 1 
 MUS , Urban ," 1,951 "," 185,419 ", 0 
 MWI , Rural ," 1,951 "," 2,896,527 ", 1 
 MWI , Urban ," 1,951 "," 106,358 ", 0 
 NAM , Rural ," 1,951 "," 436,692 ", 1 
 NAM , Urban ," 1,951 "," 83,699 ", 0 
 NER , Rural ," 1,951 "," 2,546,206 ", 1 
 NER , Urban ," 1,951 "," 138,548 ", 0 
 NGA , Rural ," 1,951 "," 34,051,815 ", 1 
 NGA , Urban ," 1,951 "," 3,942,262 ", 0 
 RWA , Rural ," 1,951 "," 2,194,189 ", 1 
 RWA , Urban ," 1,951 "," 41,842 ", 0 
 SDN , Rural ," 1,951 "," 5,954,102 ", 1 
 SDN , Urban ," 1,951 "," 421,958 ", 0 
 SEN , Rural ," 1,951 "," 2,050,048 ", 1 
 SEN , Urban ," 1,951 "," 569,594 ", 0 
 SLE , Rural ," 1,951 "," 1,762,368 ", 1 
 SLE , Urban ," 1,951 "," 260,908 ", 0 
 SOM , Rural ," 1,951 "," 1,974,068 ", 1 
 SOM , Urban ," 1,951 "," 302,612 ", 0 
 SSA , Rural ," 1,951 "," 165,983,783 ", 1 
 SSA , Urban ," 1,951 "," 21,347,403 ", 0 
 SSD , Rural ," 1,951 "," 2,349,820 ", 1 
 SSD , Urban ," 1,951 "," 179,800 ", 0 
 STP , Rural ," 1,951 "," 53,523 ", 1 
 STP , Urban ," 1,951 "," 8,238 ", 0 
 SWZ , Rural ," 1,951 "," 274,613 ", 1 
 SWZ , Urban ," 1,951 "," 3,991 ", 0 
 SYC , Rural ," 1,951 "," 28,077 ", 1 
 SYC , Urban ," 1,951 "," 10,606 ", 0 
 TCD , Rural ," 1,951 "," 2,452,995 ", 1 
 TCD , Urban ," 1,951 "," 117,411 ", 0 
 TGO , Rural ," 1,951 "," 1,319,949 ", 1 
 TGO , Urban ," 1,951 "," 104,448 ", 0 
 TZA , Rural ," 1,951 "," 7,506,818 ", 1 
 TZA , Urban ," 1,951 "," 306,157 ", 0 
 UGA , Rural ," 1,951 "," 5,714,939 ", 1 
 UGA , Urban ," 1,951 "," 196,225 ", 0 
 ZAF , Rural ," 1,951 "," 7,627,989 ", 1 
 ZAF , Urban ," 1,951 "," 5,681,031 ", 0 
 ZMB , Rural ," 1,951 "," 2,115,013 ", 1 
 ZMB , Urban ," 1,951 "," 278,289 ", 0 
 ZWE , Rural ," 1,951 "," 2,569,593 ", 1 
