iso3cd,hazard,sector,Loss,RP,Buildings_Loss,Total_AAL,Buildings_AAL,Scaling_Factor,CAP_Stock,GDP
BWA,Flood,all_assets,"455,540,438",250,268048691,"53,833,709",31676782.3,1.69946898931082,"64,357,955,438","16,170,958,745"
BWA,Flood,all_assets,"481,296,663",500,283204145.4,"53,833,709",31676782.3,1.69946898931082,"64,357,955,438","16,170,958,745"
BWA,Flood,all_assets,"513,170,682",1000,301959426.9,"53,833,709",31676782.3,1.69946898931082,"64,357,955,438","16,170,958,745"
CAF,Combined,all_assets,"66,567,115",10,0,"22,479,105",16266072.5,0,"11,327,701,629","1,925,711,692"
CAF,Combined,all_assets,"124,457,573",25,0,"22,479,105",16266072.5,0,"11,327,701,629","1,925,711,692"
CAF,Combined,all_assets,"163,895,943",50,0,"22,479,105",16266072.5,0,"11,327,701,629","1,925,711,692"
CAF,Combined,all_assets,"179,322,809",100,0,"22,479,105",16266072.5,0,"11,327,701,629","1,925,711,692"
CAF,Combined,all_assets,"197,740,337",250,0,"22,479,105",16266072.5,0,"11,327,701,629","1,925,711,692"
CAF,Combined,all_assets,"228,183,102",500,0,"22,479,105",16266072.5,0,"11,327,701,629","1,925,711,692"
CAF,Combined,all_assets,"314,568,037",1000,0,"22,479,105",16266072.5,0,"11,327,701,629","1,925,711,692"
CAF,Earthquake,all_assets,"3,938,352",10,2778161.8,"2,343,957",1653455.7,1.41761088609752,"11,327,701,629","1,925,711,692"
CAF,Earthquake,all_assets,"10,499,308",25,7406339.6,"2,343,957",1653455.7,1.41761088609752,"11,327,701,629","1,925,711,692"
CAF,Earthquake,all_assets,"19,678,423",50,13881399.7,"2,343,957",1653455.7,1.41761088609752,"11,327,701,629","1,925,711,692"
CAF,Earthquake,all_assets,"39,323,551",100,27739312.4,"2,343,957",1653455.7,1.41761088609752,"11,327,701,629","1,925,711,692"
CAF,Earthquake,all_assets,"99,361,882",250,70091082.7,"2,343,957",1653455.7,1.41761088609752,"11,327,701,629","1,925,711,692"
CAF,Earthquake,all_assets,"183,670,853",500,129563658.4,"2,343,957",1653455.7,1.41761088609752,"11,327,701,629","1,925,711,692"
CAF,Earthquake,all_assets,"269,933,408",1000,190414316.8,"2,343,957",1653455.7,1.41761088609752,"11,327,701,629","1,925,711,692"
