ISO_A3,ghsl_year,ghsl_type,flood_type,return_period,fathom_year,ftm3_ghsl_total_built_s_km2,ftm3_ghsl_new_built_s_km2,ftm3_ghsl_rate_built_s_%
BWA,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,4.784573,1.1186967,0.054710019
BWA,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.19829695,0.042380825,0.049264541
BWA,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.60672724,0.14467773,0.05599289
BWA,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,6.144905,1.360332,0.051318723
BWA,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.25301683,0.05471988,0.049945294
BWA,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.6671423,0.06041503,0.019166157
BWA,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,6.927891,0.7829857,0.02427641
BWA,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.2747183,0.021701485,0.01659424
BWA,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.75187624,0.08473396,0.024201908
BWA,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,8.015305,1.0874138,0.029588786
BWA,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.30596098,0.031242669,0.021775965
BWA,2005,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.82212454,0.070248306,0.018024542
BWA,2005,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,8.79789,0.78258514,0.018806473
BWA,2005,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.33169967,0.025738686,0.016285663
BWA,2010,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.9146248,0.09250027,0.021553393
BWA,2010,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,9.807739,1.0098495,0.021969843
BWA,2010,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.36592448,0.03422481,0.019833514
BWA,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1.0264485,0.11182368,0.023337368
BWA,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,10.953347,1.145608,0.02234055
BWA,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.4046318,0.038707316,0.020313679
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1.1383449,0.111896396,0.02090973
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,11.756677,0.80332947,0.014255905
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.44342455,0.03879276,0.0184787
BFA,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.468752094,,
BFA,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,6.36115,,
BFA,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.127994867,,
BFA,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.626980875,0.158228781,0.059893465
BFA,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,8.410849,2.049699,0.057452431
BFA,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.166270641,0.038275773,0.053718496
BFA,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.851141813,0.224160938,0.063039804
BFA,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,11.443239,3.03239,0.063510609
BFA,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.2172475,0.050976859,0.054940203
BFA,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1.12811475,0.276972937,0.057962491
BFA,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,15.17317,3.729931,0.058048245
BFA,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.277167313,0.059919812,0.049922988
BFA,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1.289134375,0.161019625,0.02704384
BFA,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,17.6221,2.44893,0.030377265
BFA,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.303713875,0.026546563,0.018461284
BFA,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1.5032195,0.214085125,0.031204602
BFA,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,20.79212,3.17002,0.033637417
