ISO_A3,ghsl_year,ghsl_type,flood_type,return_period,fathom_year,ftm3_ghsl_total_pop_#,ftm3_ghsl_new_pop_#,ftm3_ghsl_rate_pop_%
BWA,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,49116.082,4908.6953,0.0212822194885382
BWA,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,1454.2875,146.91919,0.0215284341554926
BWA,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,4380.136,565.489,0.0280320378761198
BWA,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,54949.957,5833.875,0.0227011098602585
BWA,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,1658.1245,203.83704,0.0265813624406048
BFA,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,17477.1640625,,
BFA,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,226342.625,,
BFA,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,5239.41455078125,,
BFA,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,20313.072265625,2835.908203125,0.0305306903855659
BFA,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,267897.375,41554.75,0.0342854661175062
BFA,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,5892.09033203125,652.67578125,0.0237580433729069
BFA,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,23626.759765625,3313.6875,0.0306844179882876
BFA,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,321444.34375,53546.96875,0.0371163143845336
BFA,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,6555.7294921875,663.63916015625,0.0215751632563516
BFA,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,27972.44921875,4345.689453125,0.0343446339560615
BFA,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,383739.4375,62295.09375,0.0360629162266235
BFA,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,7460.51953125,904.7900390625,0.0261943266683164
BFA,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,30720.529296875,2748.080078125,0.0189189514222867
BFA,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,429267.75,45528.3125,0.0226767096788762
BFA,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,8012.1875,551.66796875,0.0143700233754726
BFA,2000,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,34324.26953125,3603.740234375,0.0224322080336665
BFA,2000,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,485636.09375,56368.34375,0.0249827088192511
BFA,2000,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,8525.91015625,513.72265625,0.0125067555740772
BFA,2005,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,38883.5390625,4559.26953125,0.0252573620998264
BFA,2005,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,553203.375,67567.28125,0.0263955790808414
BFA,2005,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,9376.7578125,850.84765625,0.0192069804094243
BFA,2010,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,43124.87890625,4241.33984375,0.0209216659111233
BFA,2010,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,625111.75,71908.375,0.0247420748400755
BFA,2010,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,10015.35546875,638.59765625,0.0132642819020585
BFA,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,48125.3125,5000.43359375,0.022184131890369
BFA,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,706306.5625,81194.8125,0.0247244905976689
BFA,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,10824.0673828125,808.7119140625,0.0156517562541138
BFA,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,52821.19140625,4695.87890625,0.0187952841637606
BFA,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,783116.75,76810.1875,0.0208610977469059
BFA,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,11506.2822265625,682.21484375,0.0122992311595997
BDI,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,13418.5263671875,,
BDI,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,75331.5234375,,
BDI,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,4983.28466796875,,
BDI,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,14993.9140625,1575.3876953125,0.0224499044780228
BDI,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,85765.9453125,10434.421875,0.0262841594748912
BDI,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,5018.56884765625,35.2841796875,0.0014121075769959
BDI,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,16823.47265625,1829.55859375,0.0232932888154504
BDI,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,97514.8046875,11748.859375,0.0260089171601278
BDI,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,5226.28271484375,207.7138671875,0.008144076113179
BDI,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,18706.705078125,1883.232421875,0.0214481602649281
BDI,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,108004.015625,10489.2109375,0.0206430192949609
BDI,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,5299.63330078125,73.3505859375,0.0027913618652519
