ISO_A3,ghsl_year,ghsl_type,flood_type,climate_scenario,return_period,fathom_year,ftm3_ghsl_total_pop_#,ftm3_ghsl_new_pop_#,ftm3_ghsl_rate_pop_%
BEN,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in100,2030,18159.76367,,
BEN,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in100,2050,24451.44922,6291.685547,0.014985226
BEN,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in100,2080,49093.04297,24641.59375,0.02350628
BEN,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in5,2030,16944.68164,,
BEN,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in5,2050,23902.67188,6957.990234,0.017350615
BEN,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in5,2080,47943.07031,24040.39844,0.023472033
BEN,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in10,2030,17730.23828,,
BEN,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in10,2050,25204.78906,7474.550781,0.017743705
BEN,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in10,2080,52321.78906,27117,0.024644745
BEN,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in100,2030,18364.24023,,
BEN,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in100,2050,25633.67578,7269.435547,0.016814887
BEN,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in100,2080,53093.64844,27459.97266,0.024568633
BEN,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in5,2030,17208.65625,,
BEN,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in5,2050,24861.99023,7653.333984,0.018566636
BEN,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in5,2080,52060.62109,27198.63086,0.024941587
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2030,35776.45703,,
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2050,37207.50391,1431.046875,0.001962944
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2080,38332.26172,1124.757813,0.000993207
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in100,2030,348310.375,,
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in100,2050,351649.8438,3339.46875,0.000477212
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in100,2080,354121,2471.15625,0.000233452
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in5,2030,12418.7998,,
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in5,2050,12659.875,241.0751953,0.000961767
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in5,2080,12980.91504,321.0400391,0.000835104
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in10,2030,35876.53516,,
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in10,2050,39874.82031,3998.285156,0.00529706
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in10,2080,44706.82422,4832.003906,0.003819981
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in100,2030,348496.5938,,
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in100,2050,357003.375,8506.78125,0.001206566
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in100,2080,364761.375,7758,0.000716861
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in5,2030,12459.15527,,
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in5,2050,13327.68945,868.5341797,0.003375086
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in5,2080,14807.83398,1480.144531,0.003516588
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2030,35894.90234,,
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2050,40681.41406,4786.511719,0.006278429
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2080,49874.31641,9192.902344,0.006814273
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2030,348541.5625,,
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2050,358319.6875,9778.125,0.001384362
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2080,374008.0625,15688.375,0.001429413
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2030,12470.89844,,
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2050,13633.60156,1162.703125,0.004466929
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2080,16913.67188,3280.070313,0.007212044
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2030,36096.42188,,
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2050,43213.81641,7117.394531,0.009038933
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2080,55133.98438,11920.16797,0.008153259
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in100,2030,349245.9375,,
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in100,2050,363098.9375,13853,0.001946842
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in100,2080,383555.3125,20456.375,0.00182862
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in5,2030,12440.3457,,
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in5,2050,14401.09863,1960.75293,0.007344823
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in5,2080,18969.79297,4568.694336,0.009227089
BWA,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2030,4434.5596,,
BWA,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2050,4455.023,20.463379,0.000230219
BWA,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2080,4432.877,-22.145996,-0.0001661
BWA,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in100,2030,54033.35,,
