ISO_A3,ghsl_year,ghsl_type,flood_type,climate_scenario,return_period,fathom_year,ftm3_ghsl_total_built_s_km2,ftm3_ghsl_new_built_s_km2,ftm3_ghsl_rate_built_s_%
AGO,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in5,2080,3.6259146,0.91276264,0.0097133887386693
BEN,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in10,2030,1.078056375,,
BEN,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in10,2050,1.36523975,0.2871833749999999,0.0118785101097205
BEN,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in10,2080,2.29076325,0.9255235,0.0174015058393552
BEN,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in100,2030,1.132935375,,
BEN,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in100,2050,1.40741875,0.274483375,0.0109063155041795
BEN,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in100,2080,2.3551175,0.94769875,0.0173092066961673
BEN,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in5,2030,1.04692425,,
BEN,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in5,2050,1.35288475,0.3059605000000001,0.0129016464990707
BEN,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in5,2080,2.2642725,0.91138775,0.0173153473165339
BEN,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in10,2030,1.090727,,
BEN,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in10,2050,1.42693175,0.33620475,0.013524746179149
BEN,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in10,2080,2.82832275,1.4013909999999998,0.0230672729625875
BEN,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in100,2030,1.14624575,,
BEN,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in100,2050,1.46736475,0.3211189999999999,0.0124253646994976
BEN,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in100,2080,2.882741,1.4153762500000002,0.022764357393505
BEN,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in5,2030,1.061185,,
BEN,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in5,2050,1.41485975,0.3536747499999999,0.0144861316596671
BEN,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in5,2080,2.805219,1.3903592500000002,0.0230772937116059
BEN,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in10,2030,1.1024085,,
BEN,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in10,2050,1.488940375,0.3865318750000002,0.0151418626423383
BEN,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in10,2080,3.2395975,1.7506571249999998,0.026251468595948
BEN,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in100,2030,1.16227825,,
BEN,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in100,2050,1.522153,0.3598747500000001,0.0135785469735307
BEN,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in100,2080,3.29773475,1.77558175,0.0261052596919113
BEN,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in5,2030,1.071623625,,
BEN,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in5,2050,1.471901,0.4002773749999999,0.015995574037618
BEN,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in5,2080,3.21984375,1.74794275,0.0264359944723542
BEN,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in10,2030,1.126226,,
