Country Code,Year,Value
STP,1993,46.717
SWZ,1993,21.434
SYC,1993,49.435
TCD,1993,21.408
TGO,1993,29.848
TZA,1993,19.867
UGA,1993,12.133
ZAF,1993,53.521
ZMB,1993,38.042
ZWE,1993,30.94
AFE,1994,27.03757489849472
AFW,1994,32.66171860275225
AGO,1994,43.0
BDI,1994,7.014
BEN,1994,36.447
BFA,1994,14.86
BWA,1994,48.133
CAF,1994,37.149
CIV,1994,40.835
CMR,1994,41.985
COD,1994,32.39
COG,1994,55.996
COM,1994,28.346
CPV,1994,47.834
ERI,1994,21.755
ETH,1994,13.627
GAB,1994,73.921
GHA,1994,39.39
GIN,1994,29.182
GMB,1994,42.472
GNB,1994,34.002
GNQ,1994,38.831
KEN,1994,17.952
LBR,1994,48.981
LSO,1994,16.319
MDG,1994,25.536
MLI,1994,25.069
MOZ,1994,26.984
MRT,1994,38.829
MUS,1994,43.407
MWI,1994,12.907
NAM,1994,29.316
NER,1994,15.691
NGA,1994,31.691
RWA,1994,8.49
SDN,1994,32.179
SEN,1994,39.464
SLE,1994,34.192
SOM,1994,31.067
SSA,1994,30.953973542469264
SSD,1994,15.749
STP,1994,47.673
SWZ,1994,21.857
SYC,1994,49.525
TCD,1994,21.44
TGO,1994,30.275
TZA,1994,20.203
UGA,1994,12.485
ZAF,1994,54.004
ZMB,1994,37.572
ZWE,1994,31.335
AFE,1995,27.408217689318988
AFW,1995,33.06509046167383
AGO,1995,44.169
BDI,1995,7.211
BEN,1995,36.758
BFA,1995,15.131
BWA,1995,48.981
CAF,1995,37.231
CIV,1995,41.21
CMR,1995,42.573
COD,1995,32.838
COG,1995,56.413
COM,1995,28.301
CPV,1995,48.768
ERI,1995,22.514
ETH,1995,13.827
GAB,1995,74.797
GHA,1995,40.14
GIN,1995,29.475
GMB,1995,43.362
GNB,1995,34.371
GNQ,1995,40.494
KEN,1995,18.263
LBR,1995,45.96
LSO,1995,16.955
MDG,1995,25.796
MLI,1995,25.519
MOZ,1995,27.495
MRT,1995,38.705
MUS,1995,43.284
MWI,1995,13.263
NAM,1995,29.813
NER,1995,15.773
NGA,1995,32.205
RWA,1995,9.837
SDN,1995,32.232
SEN,1995,39.606
SLE,1995,34.429
SOM,1995,31.425
SSA,1995,31.373330254545483
SSD,1995,15.873
STP,1995,48.631
SWZ,1995,22.286
SYC,1995,49.633
TCD,1995,21.473
TGO,1995,30.705
TZA,1995,20.543
UGA,1995,12.846
ZAF,1995,54.486
ZMB,1995,37.104
ZWE,1995,31.732
AFE,1996,27.68569717749504
AFW,1996,33.47422310352655
AGO,1996,45.346
BDI,1996,7.412
BEN,1996,37.071
BFA,1996,15.407
BWA,1996,49.83
CAF,1996,37.312
CIV,1996,41.587
CMR,1996,43.164
COD,1996,33.289
COG,1996,56.832
COM,1996,28.257
CPV,1996,49.704
ERI,1996,23.293
ETH,1996,14.006
GAB,1996,75.654
GHA,1996,40.896
GIN,1996,29.77
GMB,1996,44.258
GNB,1996,34.742
GNQ,1996,42.187
KEN,1996,18.579
LBR,1996,42.964
LSO,1996,17.571
MDG,1996,26.058
MLI,1996,25.975
MOZ,1996,28.013
MRT,1996,38.582
MUS,1996,43.161
MWI,1996,13.629
NAM,1996,30.316
NER,1996,15.855
NGA,1996,32.725
RWA,1996,11.374
SDN,1996,32.284
SEN,1996,39.749
SLE,1996,34.667
SOM,1996,31.785
SSA,1996,31.73299301142372
SSD,1996,15.997
STP,1996,49.592
SWZ,1996,22.722
SYC,1996,49.758
TCD,1996,21.506
TGO,1996,31.139
TZA,1996,20.888
UGA,1996,13.216
ZAF,1996,54.967
ZMB,1996,36.638
ZWE,1996,32.132
AFE,1997,27.958082681611327
AFW,1997,33.929860888171504
AGO,1997,46.525
BDI,1997,7.618
BEN,1997,37.385
BFA,1997,15.875
BWA,1997,50.677
CAF,1997,37.394
CIV,1997,41.964
CMR,1997,43.755
COD,1997,33.742
COG,1997,57.299
COM,1997,28.213
CPV,1997,50.637
ERI,1997,24.088
ETH,1997,14.186
GAB,1997,76.49
GHA,1997,41.654
GIN,1997,30.052
GMB,1997,45.155
GNB,1997,35.114
GNQ,1997,43.893
KEN,1997,18.898
LBR,1997,43.304
LSO,1997,18.049
MDG,1997,26.321
MLI,1997,26.434
MOZ,1997,28.535
MRT,1997,38.459
MUS,1997,43.038
MWI,1997,14.002
NAM,1997,30.823
NER,1997,15.937
NGA,1997,33.247
RWA,1997,12.466
SDN,1997,32.337
SEN,1997,39.891
SLE,1997,34.905
SOM,1997,32.147
SSA,1997,32.11068710609582
SSD,1997,16.123
STP,1997,50.55
SWZ,1997,23.081
SYC,1997,49.901
TCD,1997,21.538
TGO,1997,31.576
TZA,1997,21.237
UGA,1997,13.594
ZAF,1997,55.449
ZMB,1997,36.176
ZWE,1997,32.534
AFE,1998,28.24592081358982
AFW,1998,34.3971425862883
AGO,1998,47.71
BDI,1998,7.83
BEN,1998,37.699
BFA,1998,16.51
BWA,1998,51.525
CAF,1998,37.475
CIV,1998,42.342
CMR,1998,44.348
COD,1998,34.199
COG,1998,57.766
COM,1998,28.168
CPV,1998,51.572
ERI,1998,24.903
ETH,1998,14.369
GAB,1998,77.306
GHA,1998,42.418
GIN,1998,30.323
GMB,1998,46.057
GNB,1998,35.488
GNQ,1998,45.616
KEN,1998,19.222
LBR,1998,43.646
LSO,1998,18.538
MDG,1998,26.586
MLI,1998,26.948
MOZ,1998,28.742
MRT,1998,38.337
MUS,1998,42.916
MWI,1998,14.384
NAM,1998,31.335
NER,1998,16.02
NGA,1998,33.773
RWA,1998,13.244
SDN,1998,32.39
SEN,1998,40.034
SLE,1998,35.144
SOM,1998,32.511
SSA,1998,32.5022486523755
SSD,1998,16.249
STP,1998,51.509
SWZ,1998,22.949
SYC,1998,50.061
TCD,1998,21.571
TGO,1998,32.016
TZA,1998,21.59
UGA,1998,13.982
ZAF,1998,55.93
ZMB,1998,35.716
ZWE,1998,32.939
AFE,1999,28.53289306990465
AFW,1999,34.86816864921812
AGO,1999,48.897
BDI,1999,8.036
BEN,1999,38.015
BFA,1999,17.166
BWA,1999,52.372
CAF,1999,37.557
CIV,1999,42.741
CMR,1999,44.944
COD,1999,34.659
COG,1999,58.231
COM,1999,28.124
CPV,1999,52.505
ERI,1999,25.735
ETH,1999,14.553
GAB,1999,78.102
GHA,1999,43.184
GIN,1999,30.595
GMB,1999,46.961
GNB,1999,35.865
GNQ,1999,47.35
KEN,1999,19.55
LBR,1999,43.988
LSO,1999,19.038
MDG,1999,26.853
MLI,1999,27.646
MOZ,1999,28.92
MRT,1999,38.214
MUS,1999,42.793
MWI,1999,14.522
NAM,1999,31.851
NER,1999,16.103
NGA,1999,34.304
RWA,1999,14.064
SDN,1999,32.442
SEN,1999,40.177
SLE,1999,35.384
SOM,1999,32.878
SSA,1999,32.89371663329442
SSD,1999,16.376
STP,1999,52.467
SWZ,1999,22.817
SYC,1999,50.238
TCD,1999,21.604
TGO,1999,32.46
TZA,1999,21.947
UGA,1999,14.379
ZAF,1999,56.411
ZMB,1999,35.258
ZWE,1999,33.347
AFE,2000,28.81336082821008
AFW,2000,35.34169825818123
AGO,2000,50.087
BDI,2000,8.246
BEN,2000,38.333
BFA,2000,17.844
BWA,2000,53.219
CAF,2000,37.639
CIV,2000,43.155
CMR,2000,45.542
COD,2000,35.122
COG,2000,58.695
COM,2000,28.08
CPV,2000,53.435
ERI,2000,26.587
ETH,2000,14.74
