Country Code,Year,Value
MLI,2016,50.31832
MOZ,2016,61.98622
MRT,2016,57.68042
MUS,2016,56.84264
MWI,2016,53.29854
NAM,2016,41.36463
NER,2016,70.44397
NGA,2016,54.00711
RWA,2016,43.57101
SDN,2016,73.66328
SEN,2016,38.71484
SLE,2016,56.12183
SOM,2016,56.84264
SSA,2016,52.757248750233806
SSD,2016,94.2
STP,2016,52.64358
SWZ,2016,10.8082
SYC,2016,56.84264
TCD,2016,82.56551
TGO,2016,43.32551
TZA,2016,47.26693
UGA,2016,59.38995
ZAF,2016,24.56298
ZMB,2016,51.36341
ZWE,2016,22.75892
AFE,2018,55.07433327110321
AFW,2018,49.07970087909952
AGO,2018,62.58105
BDI,2018,39.50542
BEN,2018,68.3262
BFA,2018,32.11638
BWA,2018,39.58877
CAF,2018,68.9131
CIV,2018,53.21082
CMR,2018,35.94099
COD,2018,77.90169
COG,2018,44.18359
COM,2018,68.6
CPV,2018,49.20007
ECS,2018,2.66896185293339
ERI,2018,53.3709
ETH,2018,64.31438
GAB,2018,44.33265
GHA,2018,33.48685
GIN,2018,48.17296
GMB,2018,40.69583
GNB,2018,64.41973
GNQ,2018,64.67379
KEN,2018,50.81331
LBR,2018,63.88484
LSO,2018,29.68363
MDG,2018,69.82165
MEA,2018,34.26821011351278
MLI,2018,46.12357
MOZ,2018,58.47257
MRT,2018,56.0
MUS,2018,53.3709
MWI,2018,49.78452
NAM,2018,41.4
NER,2018,70.44397
NGA,2018,51.49458
RWA,2018,40.08982
SDN,2018,73.7
SEN,2018,35.15984
SLE,2018,53.38422
SOM,2018,53.3709
SSA,2018,51.57749518143158
SSD,2018,94.2
STP,2018,52.6
SWZ,2018,10.8082
SYC,2018,53.3709
TCD,2018,82.0
TGO,2018,40.08219
TSA,2018,11.390112990930485
TZA,2018,43.0093
UGA,2018,56.70105
ZAF,2018,24.18213
ZMB,2018,49.81077
ZWE,2018,22.16356
TSA,2019,5.41
AFE,2020,54.678393648969305
AFW,2020,47.08893081588652
AGO,2020,62.6
BDI,2020,36.8
BEN,2020,67.93293
BFA,2020,26.55025
BWA,2020,39.6
CAF,2020,68.9131
CIV,2020,53.21082
CMR,2020,32.67179
COD,2020,78.36226
COG,2020,44.18359
COM,2020,68.6
CPV,2020,46.67545
ECS,2020,2.6711239433090483
ERI,2020,51.93824
ETH,2020,64.31438
GAB,2020,44.33265
GHA,2020,33.48685
GIN,2020,49.00714
GMB,2020,38.89309
GNB,2020,60.81037
GNQ,2020,64.91767
KEN,2020,50.81331
LBR,2020,63.88484
LSO,2020,25.55318
MDG,2020,67.42009
MEA,2020,34.04566863510544
MLI,2020,41.92883
MOZ,2020,54.95891
MRT,2020,56.0
MUS,2020,51.93824
MWI,2020,49.78452
NAM,2020,41.4
NER,2020,70.44397
NGA,2020,48.98206
RWA,2020,38.34923
SDN,2020,73.7
SEN,2020,31.60484
SLE,2020,50.64661
SOM,2020,51.93824
SSA,2020,50.364269372240905
SSD,2020,94.2
STP,2020,52.6
SWZ,2020,10.8082
SYC,2020,51.93824
TCD,2020,82.0
TGO,2020,38.5
TZA,2020,40.88048
UGA,2020,54.01214
ZAF,2020,24.2
ZMB,2020,48.25813
ZWE,2020,21.56821
AFE,2022,57.04718498330198
AFW,2022,51.23542040006558
AGO,2022,62.7
BDI,2022,36.75168
BEN,2022,64.01064
BFA,2022,87.88175
BWA,2022,39.6
CAF,2022,68.9131
CIV,2022,48.26127
CMR,2022,32.67179
COD,2022,78.36226
COG,2022,75.34233
COM,2022,48.50155
CPV,2022,46.41147
EAS,2022,23.193155247820616
ECS,2022,2.605813900915892
ERI,2022,48.68591
ETH,2022,64.31438
GAB,2022,38.77297
GHA,2022,33.48685
GIN,2022,43.95734
GMB,2022,37.08102
GNB,2022,59.0
GNQ,2022,64.68739
KEN,2022,40.49575
LBR,2022,60.47684
LCN,2022,18.796925673085813
LSO,2022,25.55318
MDG,2022,65.71715
MEA,2022,31.743274416691225
MLI,2022,92.49697
MOZ,2022,54.95891
MRT,2022,58.56017
MUS,2022,48.68591
MWI,2022,37.97408
NAM,2022,41.4
NER,2022,70.44397
NGA,2022,48.49726
RWA,2022,38.34923
SDN,2022,73.7
SEN,2022,46.41165
SLE,2022,49.27874
SOM,2022,48.68591
SSA,2022,53.75088140050809
SSD,2022,94.2
STP,2022,82.39333
SWZ,2022,17.00571
SYC,2022,48.68591
TCD,2022,82.0
TGO,2022,38.46053
TZA,2022,70.08585
UGA,2022,52.68098
ZAF,2022,24.2
ZMB,2022,48.25813
ZWE,2022,54.88268
