city_name,covers_by_area_threshold,area_ratio_2020_over_2015,area_2015,area_2020
6512.0,True,1.085030069308522,9362622.28584949,10158726.707724784
2178.0,True,1.2678108039850087,3143304.4004962216,3985115.2791627306
3282.0,True,1.1718627393151226,5672574.131894372,6647478.261169842
6260.0,True,1.2171476394349194,18108803.35884846,22041087.261213545
7168.0,True,1.1926160042701295,3501749.06126582,4176241.973403519
5089.0,True,1.0479607316282822,836191.5200897108,876295.8771745787
2683.0,True,1.0460529332247601,2462249.584404688,2575643.4000979704
6384.0,True,1.2846444121505614,2553473.3785178415,3280305.30728816
8937.0,True,1.1825772049191285,2306056.6153194085,2727089.986529692
8643.0,True,1.0,11383588.786827376,11383588.786827376
8190.0,True,1.2839438337773925,24911244.18569753,31984638.363949265
2566.0,True,1.2137560306204416,38710886.99098958,46985572.53598
8465.0,True,1.1317283513935572,26413000.458454266,29892341.46420372
3791.0,True,0.9999999999999974,12583612.285271244,12583612.285271212
4818.0,True,1.8878935094089389,2204706.491972346,4162251.0763463425
7956.0,True,1.3540293851765626,2535389.374035596,3432991.7153086076
4528.0,True,1.2075391441607117,3539834.5075654592,4274488.731736149
5260.0,True,2.18234962736801,1373924.8626081718,2998384.4119445877
6164.0,True,1.0788602152193552,14517858.576248996,15662740.028096152
5398.0,True,1.2920332561607164,510196630.27748615,659191013.4996456
1712.0,True,1.3277865450891257,2826879.8507228144,3753493.0303733093
3076.0,True,3.296757653664477,9043849.164393086,29815378.95129999
2829.0,True,1.3504698401844102,677548.2286918237,915008.4481186772
933.0,True,1.0944526576008726,4296206.988877327,4701995.156580233
4096.0,True,1.1676437311836947,5897226.84942265,6885859.962096528
247.0,True,1.1280766069137407,2896911.565204987,3267938.169005615
6965.0,True,1.1890607080002469,4401058.237447827,5233125.423770032
6560.0,True,1.4252981333191823,1305972.8906003581,1861400.723138147
2884.0,True,1.0639595440449232,7620893.941945023,8108322.843686543
6967.0,True,1.2739991967819435,5210341.268459559,6637970.590977292
2779.0,True,43.40611862478966,283846.2328040986,12320663.252294365
80.0,True,1.0167770266323795,1563233.8942987234,1589460.3109760114
1068.0,True,1.054120177991302,7033958.074604115,7414637.137585047
8414.0,True,1.7842968781414779,1768656.1707148405,3155807.6839121506
7444.0,True,1.2855800072062884,5352284.301185629,6880789.690488325
807.0,True,1.0191421279302089,1299524.8362715978,1324400.5069359925
2871.0,True,1.2131454576368979,3870066.1059001745,4694953.117127314
1007.0,True,1.0646334531249615,7227471.442819834,7694607.879531327
353.0,True,1.1515160530454005,1520869.0325493182,1751305.1055601675
4012.0,True,1.1543089506908233,4720790.53296959,5449250.7665433
1066.0,True,1.185086190881482,2353524.802700688,2789129.74357765
6124.0,True,1.5087874766999738,555315.9524630958,837853.7546880369
2972.0,True,1.0489443008392416,3344675.5905763092,3508378.3988911444
