ISO_A3,worldpop_year,worldpop_population_total,worldpop_built_surface_km2,worldpop_built_volume_m3,ftm_return_period,ftm_flood_type,worldpop_population_ftm_total,worldpop_population_ftm_share,worldpop_built_surface_ftm_km2,worldpop_built_surface_ftm_share,worldpop_built_volume_ftm_m3,worldpop_built_volume_ftm_share
CMR,2015,22417796,1082.9913,5584093700.0,10,FLUVIAL_PLUVIAL_DEFENDED,341322,0.0152254931751542,13.197132110595703,0.0121858150738317,54833112.0,0.0098195186157564
CMR,2015,22417796,1082.9913,5584093700.0,100,FLUVIAL_PLUVIAL_DEFENDED,1696528,0.0756777338860608,64.12265014648438,0.0592088303868465,327756544.0,0.0586946713008735
CMR,2020,25857312,1236.8746,6084740000.0,10,FLUVIAL_PLUVIAL_DEFENDED,390376,0.01509731560651,15.717272758483888,0.0127072480339703,62651200.0,0.0102964463578626
CMR,2020,25857312,1236.8746,6084740000.0,100,FLUVIAL_PLUVIAL_DEFENDED,1954143,0.0755740967970684,72.93995666503906,0.0589711799987308,356014432.0,0.0585093901108508
CMR,2025,29499902,1331.7262,6348535000.0,10,FLUVIAL_PLUVIAL_DEFENDED,446295,0.0151286943258319,19.2309684753418,0.0144406324129765,72625208.0,0.0114396802523686
CMR,2025,29499902,1331.7262,6348535000.0,100,FLUVIAL_PLUVIAL_DEFENDED,2236968,0.0758296756375665,84.37236022949219,0.0633556360643809,389280672.0,0.0613181915583247
COD,2015,79711920,2311.143,10909852000.0,10,FLUVIAL_PLUVIAL_DEFENDED,1125233,0.0141162450986,24.39875602722168,0.010557008080491,108226296.0,0.0099200520311236
COD,2015,79711920,2311.143,10909852000.0,100,FLUVIAL_PLUVIAL_DEFENDED,4247430,0.0532847533969825,95.87345123291016,0.0414831312810029,498782560.0,0.0457185465112568
COD,2020,94412576,2791.191,12617231000.0,10,FLUVIAL_PLUVIAL_DEFENDED,1303163,0.0138028539757245,29.77165985107422,0.0106662928929061,126295056.0,0.0100097281563995
COD,2020,94412576,2791.191,12617231000.0,100,FLUVIAL_PLUVIAL_DEFENDED,4931436,0.0522328296603198,114.22116088867188,0.0409220165318518,564348160.0,0.0447283674126111
COD,2025,111036592,2976.892,13130626000.0,10,FLUVIAL_PLUVIAL_DEFENDED,1507324,0.0135750203860723,33.057010650634766,0.011104537770588,135786224.0,0.010341184304817
COD,2025,111036592,2976.892,13130626000.0,100,FLUVIAL_PLUVIAL_DEFENDED,5715941,0.0514779938490907,125.30813598632812,0.0420936104515986,597139456.0,0.045476845796774
COG,2015,5035922,202.2738,1192531300.0,10,FLUVIAL_PLUVIAL_DEFENDED,50092,0.0099469372242064,2.1011204719543457,0.0103875066044488,7281506.5,0.0061059247074136
COG,2015,5035922,202.2738,1192531300.0,100,FLUVIAL_PLUVIAL_DEFENDED,321611,0.0638633799332078,12.652838706970217,0.0625530270101211,70628728.0,0.059225888948722
COG,2020,5683274,242.38663,1358212200.0,10,FLUVIAL_PLUVIAL_DEFENDED,55968,0.0098478447458278,2.818802833557129,0.0116293661335658,9306353.0,0.0068519137403964
COG,2020,5683274,242.38663,1358212200.0,100,FLUVIAL_PLUVIAL_DEFENDED,361468,0.0636020716228005,15.409423828125,0.0635737375708606,80028776.0,0.0589221438195508
COG,2025,6408290,253.02707,1389117600.0,10,FLUVIAL_PLUVIAL_DEFENDED,62932,0.0098204045072866,3.210655689239502,0.0126889810673762,10386845.0,0.0074772972707807
COG,2025,6408290,253.02707,1389117600.0,100,FLUVIAL_PLUVIAL_DEFENDED,406592,0.0634478152518066,16.851104736328125,0.0665980315735097,84384608.0,0.0607469158434831
COM,2015,719110,25.596464,134203230.0,10,FLUVIAL_PLUVIAL_DEFENDED,1963,0.0027297631794857,0.0616991072893142,0.0024104543076973,365042.21875,0.0027200702495003
COM,2015,719110,25.596464,134203230.0,100,FLUVIAL_PLUVIAL_DEFENDED,27910,0.0388118646660455,0.8735610842704773,0.0341281936016156,4824989.5,0.0359528561875469
COM,2020,794087,26.005476,135611710.0,10,FLUVIAL_PLUVIAL_DEFENDED,2150,0.002707511897311,0.0619874373078346,0.0023836301751516,366179.28125,0.002700203956204
COM,2020,794087,26.005476,135611710.0,100,FLUVIAL_PLUVIAL_DEFENDED,30619,0.0385587473412862,0.883155345916748,0.0339603607327634,4857619.0,0.0358200551291617
COM,2025,874749,26.017784,135642460.0,10,FLUVIAL_PLUVIAL_DEFENDED,2349,0.0026853417380299,0.0619874373078346,0.0023825025615227,366179.28125,0.0026995917830717
COM,2025,874749,26.017784,135642460.0,100,FLUVIAL_PLUVIAL_DEFENDED,33553,0.0383572887765519,0.8835223317146301,0.0339584004419971,4858537.0,0.035818702025348
CPV,2015,512346,21.625698,126629730.0,10,FLUVIAL_PLUVIAL_DEFENDED,4414,0.0086152717109141,0.1545791178941726,0.007147936554636,960269.375,0.0075832854588458
CPV,2015,512346,21.625698,126629730.0,100,FLUVIAL_PLUVIAL_DEFENDED,0,0.0,0.0,0.0,0.0,0.0
CPV,2020,514496,23.77139,132226250.0,10,FLUVIAL_PLUVIAL_DEFENDED,4378,0.0085092984202015,0.1728743612766266,0.0072723704681556,1008126.9375,0.0076242573070665
CPV,2020,514496,23.77139,132226250.0,100,FLUVIAL_PLUVIAL_DEFENDED,0,0.0,0.0,0.0,0.0,0.0
CPV,2025,526140,25.725458,137551740.0,10,FLUVIAL_PLUVIAL_DEFENDED,4406,0.0083741969817919,0.1943696439266204,0.0075555367305801,1065640.125,0.0077471945757372
CPV,2025,526140,25.725458,137551740.0,100,FLUVIAL_PLUVIAL_DEFENDED,0,0.0,0.0,0.0,0.0,0.0
ERI,2015,3095193,84.56969,343307940.0,10,FLUVIAL_PLUVIAL_DEFENDED,17245,0.005571542711553,0.3139216303825378,0.0037119876155171,865875.1875,0.0025221531363026
ERI,2015,3095193,84.56969,343307940.0,100,FLUVIAL_PLUVIAL_DEFENDED,149309,0.0482389951127441,3.096278429031372,0.0366121543416801,12505508.0,0.0364265042798195
ERI,2020,3262064,115.744736,425277500.0,10,FLUVIAL_PLUVIAL_DEFENDED,18060,0.0055363720638221,0.4254518449306488,0.0036757770648684,1152057.25,0.0027089541279851
