,ISO3,year,RP,SSP,Future_RP,EP,Future_EP,mult,xmax_2050_RP5-10-100
37,AGO,2075.0,10.0,SSP2-4.5,5.76,0.1,0.1736111111111111,1.736111111111111,19.821605550049554
38,AGO,2075.0,100.0,SSP2-4.5,42.13,0.01,0.023736055067647754,2.3736055067647754,1.9821605550049552
39,AGO,2075.0,5.0,SSP3-7.0,2.98,0.2,0.33557046979865773,1.6778523489932886,39.64321110009911
40,AGO,2075.0,10.0,SSP3-7.0,5.28,0.1,0.1893939393939394,1.8939393939393938,19.821605550049554
41,AGO,2075.0,100.0,SSP3-7.0,36.7,0.01,0.02724795640326975,2.724795640326975,1.9821605550049552
42,AGO,2075.0,5.0,SSP5-8.5,2.69,0.2,0.3717472118959108,1.858736059479554,39.64321110009911
43,AGO,2075.0,10.0,SSP5-8.5,4.72,0.1,0.21186440677966104,2.1186440677966103,19.821605550049554
44,AGO,2075.0,100.0,SSP5-8.5,30.92,0.01,0.03234152652005175,3.2341526520051747,1.9821605550049552
45,AGO,2085.0,5.0,SSP1-1.9,4.19,0.2,0.2386634844868735,1.1933174224343674,39.64321110009911
46,AGO,2085.0,10.0,SSP1-1.9,8.04,0.1,0.12437810945273634,1.2437810945273633,19.821605550049554
47,AGO,2085.0,100.0,SSP1-1.9,70.77,0.01,0.014130281192595734,1.4130281192595735,1.9821605550049552
48,AGO,2085.0,5.0,SSP1-2.6,3.74,0.2,0.267379679144385,1.336898395721925,39.64321110009911
49,AGO,2085.0,10.0,SSP1-2.6,7.04,0.1,0.14204545454545456,1.4204545454545454,19.821605550049554
50,AGO,2085.0,100.0,SSP1-2.6,57.98,0.01,0.017247326664367024,1.7247326664367024,1.9821605550049552
51,AGO,2085.0,5.0,SSP2-4.5,3.04,0.2,0.32894736842105265,1.6447368421052633,39.64321110009911
52,AGO,2085.0,10.0,SSP2-4.5,5.47,0.1,0.18281535648994515,1.8281535648994514,19.821605550049554
53,AGO,2085.0,100.0,SSP2-4.5,39.28,0.01,0.02545824847250509,2.545824847250509,1.9821605550049552
